county,url,link_text
Galena,https://library.municode.com/ak/galena/codes/code_of_ordinances?nodeId=16362,Code of Ordinances
Galena,https://library.municode.com/ak/galena/codes/code_of_ordinances?nodeId=GALENA_ALASKAMUCO,"GALENA, ALASKA - MUNICIPAL CODE"
Galena,https://library.municode.com/ak/galena/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Galena,https://library.municode.com/ak/galena/codes/code_of_ordinances?nodeId=TIT1GEPR,Title 1 - GENERAL PROVISIONS
Galena,https://library.municode.com/ak/galena/codes/code_of_ordinances?nodeId=TIT2ADPE,Title 2 - ADMINISTRATION AND PERSONNEL
Galena,https://library.municode.com/ak/galena/codes/code_of_ordinances?nodeId=TIT3REFI,Title 3 - REVENUE AND FINANCE
Galena,https://library.municode.com/ak/galena/codes/code_of_ordinances?nodeId=TIT5BULIRE,Title 5 - BUSINESS LICENSES AND REGULATIONS
Galena,https://library.municode.com/ak/galena/codes/code_of_ordinances?nodeId=TIT6AN,Title 6 - ANIMALS
Galena,https://library.municode.com/ak/galena/codes/code_of_ordinances?nodeId=TIT8HESA,Title 8 - HEALTH AND SAFETY
Galena,https://library.municode.com/ak/galena/codes/code_of_ordinances?nodeId=TIT9PUPEMOWE,"Title 9 - PUBLIC PEACE, MORALS AND WELFARE"
Galena,https://library.municode.com/ak/galena/codes/code_of_ordinances?nodeId=TIT10VETR,Title 10 - VEHICLES AND TRAFFIC
Galena,https://library.municode.com/ak/galena/codes/code_of_ordinances?nodeId=TIT12STSIPUPL,"Title 12 - STREETS, SIDEWALKS AND PUBLIC PLACES"
Galena,https://library.municode.com/ak/galena/codes/code_of_ordinances?nodeId=TIT13PUSE,Title 13 - PUBLIC SERVICES
Galena,https://library.municode.com/ak/galena/codes/code_of_ordinances?nodeId=TIT15BUCO,Title 15 - BUILDINGS AND CONSTRUCTION
Galena,https://library.municode.com/ak/galena/codes/code_of_ordinances?nodeId=TIT16SU,Title 16 - SUBDIVISIONS
Galena,https://library.municode.com/ak/galena/codes/code_of_ordinances?nodeId=TIT17ZO,Title 17 - ZONING
Galena,https://library.municode.com/ak/galena/codes/code_of_ordinances?nodeId=STREALMU,STATUTORY REFERENCES FOR ALASKA MUNICIPALITIES
Galena,https://library.municode.com/ak/galena/codes/code_of_ordinances?nodeId=PRCOTAGAAL,"PRIOR CODE TABLE FOR GALENA, ALASKA"
Galena,https://library.municode.com/ak/galena/codes/code_of_ordinances?nodeId=ORLIDITA,ORDINANCE LIST AND DISPOSITION TABLE
Galena,https://library.municode.com/ak/galena/codes/code_of_ordinances?nodeId=COCOTADILI,"CODE COMPARATIVE TABLE AND DISPOSITION LIST




 (This content was modified in this version of the code.)
modified"
