county,url,link_text
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=10378,Code of Ordinances
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=COAUAL,"CODE CITY OF AUBURN, ALABAMA"
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH2AD,Chapter 2 - ADMINISTRATION
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH3ALBE,Chapter 3 - ALCOHOLIC BEVERAGES
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH4AN,Chapter 4 - ANIMALS
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH5BUBURE,Chapter 5 - BUILDINGS AND BUILDING REGULATIONS
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH6CE,Chapter 6 - CEMETERIES
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH7DRFLCO,Chapter 7 - DRAINAGE AND FLOOD CONTROL
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH8EL,Chapter 8 - ELECTIONS
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH9FIPRPR,Chapter 9 - FIRE PREVENTION AND PROTECTION
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH10HE,Chapter 10 - HEALTH
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH11LI,Chapter 11 - LIBRARY
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH12LITAMIBURE,"Chapter 12 - LICENSES, TAXATION AND MISCELLANEOUS BUSINESS REGULATIONS"
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH13MIPROF,Chapter 13 - MISCELLANEOUS PROVISIONS AND OFFENSES
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH14MUCO,Chapter 14 - MUNICIPAL COURT
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH15NU,Chapter 15 - NUISANCES
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH16PESOET,"Chapter 16 - PEDDLERS, SOLICITORS, ETC."
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH17PLDE,Chapter 17 - PLANNING AND DEVELOPMENT
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH18PODE,Chapter 18 - POLICE DEPARTMENT
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH19SESEDI,Chapter 19 - SEWERS AND SEWAGE DISPOSAL
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH20SOWA,Chapter 20 - SOLID WASTES
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH21STSI,Chapter 21 - STREETS AND SIDEWALKS
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH22TR,Chapter 22 - TRAFFIC
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_CH23VEHI,Chapter 23 - VEHICLES FOR HIRE
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CO_APXAFR,"APPENDIX A - FRANCHISES




 (This content was modified in this version of the code.)
modified"
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1956CO,CODE COMPARATIVE TABLE - 1956 CODE
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,"CODE COMPARATIVE TABLE - ORDINANCES




 (This content was modified in this version of the code.)
modified"
Auburn,https://library.municode.com/al/auburn/codes/code_of_ordinances?nodeId=STRETA,STATUTORY REFERENCE TABLE
