county,url,link_text
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=13948,Code of Ordinances
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COORDAAL,"CODE OF ORDINANCES CITY OF DAPHNE, ALABAMA"
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_CH3ALBE,Chapter 3 - ALCOHOLIC BEVERAGES
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_CH4ANFO,Chapter 4 - ANIMALS AND FOWL
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_CH5BUCOREAC,"Chapter 5 - BUILDINGS, CONSTRUCTION AND RELATED ACTIVITIES"
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_CH6COCRPR,Chapter 6 - COURT AND CRIMINAL PROCEDURE
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_CH7EMMA,Chapter 7 - EMERGENCY MANAGEMENT
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_CH8FITA,Chapter 8 - FINANCE AND TAXATION
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_CH9FIPRPR,Chapter 9 - FIRE PREVENTION AND PROTECTION
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_CH10HESA,Chapter 10 - HEALTH AND SANITATION
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_CH11LI,Chapter 11 - LIBRARY
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_CH12MUUTSE,Chapter 12 - MUNICIPAL UTILITIES AND SERVICES
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_CH13OCLITARE,"Chapter 13 - OCCUPATIONAL LICENSES, TAXES AND REGULATIONS"
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_CH14OFMIPR,Chapter 14 - OFFENSES AND MISCELLANEOUS PROVISIONS
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_CH15PARE,Chapter 15 - PARKS AND RECREATION
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_CH16PE,Chapter 16 - PERSONNEL
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_CH17PLDE,Chapter 17 - PLANNING AND DEVELOPMENT
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_CH18STSI,Chapter 18 - STREETS AND SIDEWALKS
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_CH19TR,Chapter 19 - TRAFFIC
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_CH20TRMOHO,Chapter 20 - TRAILERS AND MOBILE HOMES
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_CH21VEHI,Chapter 21 - VEHICLES FOR HIRE
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COOR_APXALAUSDE,APPENDIX A - LAND USE AND DEVELOPMENT
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=COCOTA,CODE COMPARATIVE TABLE
Daphne,https://library.municode.com/al/daphne/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
