county,url,link_text
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=10658,Code of Ordinances
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=COORDOAL,"CODE OF ORDINANCES CITY OF DOTHAN, ALABAMA"
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTISTCH,PART I - STATUTORY CHARTER
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH6ALBE,Chapter 6 - ALCOHOLIC BEVERAGES
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH10AN,Chapter 10 - ANIMALS
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH14BUBURE,"Chapter 14 - BUILDINGS AND BUILDING REGULATIONS




 (This content was modified in this version of the code.)
modified"
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH18BU,Chapter 18 - BUSINESSES
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH22CE,Chapter 22 - CEMETERIES
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH26CIEM,Chapter 26 - CIVIL EMERGENCIES
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH30CO,Chapter 30 - COURTS
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH34EMSE,Chapter 34 - EMERGENCY SERVICES
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH38FIPRCO,"Chapter 38 - FIRE PREVENTION CODE




 (This content was modified in this version of the code.)
modified"
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH42FL,Chapter 42 - FLOODS
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH46HESA,Chapter 46 - HEALTH AND SANITATION
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH50HIPR,Chapter 50 - HISTORIC PRESERVATION
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH54LAEN,Chapter 54 - LAW ENFORCEMENT
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH62OFMIPR,Chapter 62 - OFFENSES AND MISCELLANEOUS PROVISIONS
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH70PL,Chapter 70 - PLANNING
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH74RA,Chapter 74 - RAILROADS
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH82SOWA,Chapter 82 - SOLID WASTE
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH83ST,Chapter 83 - STORMWATER
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH86STSIOTPUPL,"Chapter 86 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH90SU,Chapter 90 - SUBDIVISIONS
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH94TA,Chapter 94 - TAXATION
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH96TEFA,Chapter 96 - TELECOMMUNICATIONS FACILITIES
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH98TRVE,Chapter 98 - TRAFFIC AND VEHICLES
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH102UT,Chapter 102 - UTILITIES
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH106VE,Chapter 106 - VEGETATION
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH110VEHI,Chapter 110 - VEHICLES FOR HIRE
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=PTIICOOR_CH114ZO,Chapter 114 - ZONING
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1977CO,CODE COMPARATIVE TABLE - 1977 CODE
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,"CODE COMPARATIVE TABLE - ORDINANCES




 (This content was modified in this version of the code.)
modified"
Dothan,https://library.municode.com/al/dothan/codes/code_of_ordinances?nodeId=STLARETA,"STATE LAW REFERENCE TABLE




 (This content was modified in this version of the code.)
modified"
