county,url,link_text
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=10817,Code of Ordinances
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COORGAAL,"CODE OF ORDINANCES OF THE CITY OF GADSDEN, ALABAMA"
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH6ALBE,Chapter 6 - ALCOHOLIC BEVERAGES
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH10AN,Chapter 10 - ANIMALS
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH14AV,Chapter 14 - AVIATION
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH18BUBURE,Chapter 18 - BUILDINGS AND BUILDING REGULATIONS
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH22BUOC,Chapter 22 - BUSINESSES AND OCCUPATIONS
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH26CE,Chapter 26 - CEMETERIES
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH30CODE,Chapter 30 - COMMUNITY DEVELOPMENT
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH34EL,Chapter 34 - ELECTIONS
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH38EMMA,Chapter 38 - EMERGENCY MANAGEMENT
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH42EMSE,Chapter 42 - EMERGENCY SERVICES
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH46EN,Chapter 46 - ENVIRONMENT
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH50FIPRPR,Chapter 50 - FIRE PREVENTION AND PROTECTION
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH54FL,Chapter 54 - FLOODS
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH58HIPR,Chapter 58 - HISTORIC PRESERVATION
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH62HURI,Chapter 62 - HUMAN RIGHTS
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH66LAEN,Chapter 66 - LAW ENFORCEMENT
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH70LI,Chapter 70 - LIBRARY
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH74LITA,Chapter 74 - LICENSES AND TAXATION
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH82MUCO,Chapter 82 - MUNICIPAL COURT
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH86NU,Chapter 86 - NUISANCES
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH90OFMIPR,Chapter 90 - OFFENSES AND MISCELLANEOUS PROVISIONS
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH94PARE,Chapter 94 - PARKS AND RECREATION
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH98PESO,Chapter 98 - PEDDLERS AND SOLICITORS
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH102PE,Chapter 102 - PERSONNEL
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH106SOWA,Chapter 106 - SOLID WASTE
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH108STMARE,Chapter 108 - Stormwater Management Regulations
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH110STSIOTPUPL,"Chapter 110 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH114TE,Chapter 114 - TELECOMMUNICATIONS
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH118TRVE,Chapter 118 - TRAFFIC AND VEHICLES
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH122UT,Chapter 122 - UTILITIES
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH126VEHI,Chapter 126 - VEHICLES FOR HIRE
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_CH130ZO,Chapter 130 - ZONING
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_APXACHAC,APPENDIX A - CHARTER ACT
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_APXBPOFICISE,APPENDIX B - POLICE AND FIRE CIVIL SERVICE
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_APXCCISEBORU,APPENDIX C - CIVIL SERVICE BOARD RULES
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_APXDSURE,APPENDIX D - SUBDIVISION REGULATIONS
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=COOR_APXEFR,APPENDIX E - FRANCHISES
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE_ALABAMA_ACTS,CODE COMPARATIVE TABLE ALABAMA ACTS
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE_1982_CODE,CODE COMPARATIVE TABLE 1982 CODE
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,"CODE COMPARATIVE TABLE - ORDINANCES




 (This content was modified in this version of the code.)
modified"
Gadsden,https://library.municode.com/al/gadsden/codes/code_of_ordinances?nodeId=STLARETA,"STATE LAW REFERENCE TABLE




 (This content was modified in this version of the code.)
modified"
