county,url,link_text
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=15467,Code of Ordinances
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=COORTOMOVEAL,"CODE OF ORDINANCES TOWN OF MOUNT VERNON, ALABAMA"
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=COOR_CH4AN,Chapter 4 - ANIMALS
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=COOR_CH6BUCO,Chapter 6 - BUILDINGS AND CONSTRUCTION
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=COOR_CH8BULITARE,"Chapter 8 - BUSINESS LICENSES, TAXES AND REGULATIONS"
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=COOR_CH10CO,Chapter 10 - COURT
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=COOR_CH12EMMASE,Chapter 12 - EMERGENCY MANAGEMENT AND SERVICES
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=COOR_CH14EN,Chapter 14 - ENVIRONMENT
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=COOR_CH16FIPRPRCO,"Chapter 16 - FIRE PREVENTION, PROTECTION AND CONTROL"
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=COOR_CH18HEPUWE,Chapter 18 - HEALTH AND PUBLIC WELFARE
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=COOR_CH20HURESOSE,Chapter 20 - HUMAN RELATIONS AND SOCIAL SERVICES
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=COOR_CH22LAEN,Chapter 22 - LAW ENFORCEMENT
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=COOR_CH24OFNU,Chapter 24 - OFFENSES AND NUISANCES
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=COOR_CH26PARE,Chapter 26 - PARKS AND RECREATION
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=COOR_CH28SOWA,Chapter 28 - SOLID WASTE
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=COOR_CH30STSIOTPUPL,"Chapter 30 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=COOR_CH32SU,Chapter 32 - SUBDIVISIONS
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=COOR_CH34TRVE,Chapter 34 - TRAFFIC AND VEHICLES
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=COOR_CH36UT,Chapter 36 - UTILITIES
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=COOR_CH38ZO,Chapter 38 - ZONING
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLELE,CODE COMPARATIVE TABLE - LEGISLATION
Mt. Vernon,https://library.municode.com/al/mt._vernon/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
