county,url,link_text
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=14335,Code of Ordinances
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOROXAL,"CODE OF ORDINANCES CITY OF OXFORD, ALABAMA"
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH4ALBE,Chapter 4 - ALCOHOLIC BEVERAGES
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH6ANFO,Chapter 6 - ANIMALS AND FOWL
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH8BUHO,Chapter 8 - BUILDINGS AND HOUSING
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH10CE,Chapter 10 - CEMETERIES
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH12EMSE,Chapter 12 - EMERGENCY SERVICES
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH13EN,Chapter 13 - ENVIRONMENT
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH14FIPRPR,Chapter 14 - FIRE PREVENTION AND PROTECTION
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH16FOFOHA,Chapter 16 - FOOD AND FOOD HANDLERS
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH18FLDAPR,Chapter 18 - FLOOD DAMAGE PREVENTION
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH20LAEN,Chapter 20 - LAW ENFORCEMENT
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH22LITA,Chapter 22 - LICENSES AND TAXATION
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH24MUCO,Chapter 24 - MUNICIPAL COURT
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH26OFMIPR,Chapter 26 - OFFENSES AND MISCELLANEOUS PROVISIONS
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH28PARE,Chapter 28 - PARKS AND RECREATION
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH30PA,Chapter 30 - PAWNBROKERS
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH32PESO,Chapter 32 - PEDDLERS AND SOLICITORS
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH34PLZO,Chapter 34 - PLANNING AND ZONING
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH36SOWA,Chapter 36 - SOLID WASTE
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH38STSIOTPUPL,"Chapter 38 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH40TETOANSADI,"Chapter 40 - TELECOMMUNICATION TOWERS, ANTENNAS AND SATELLITE DISHES"
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH42TRVE,Chapter 42 - TRAFFIC AND VEHICLES
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH44UT,Chapter 44 - UTILITIES
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH46VEHI,Chapter 46 - VEHICLES FOR HIRE
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_CH47HESASA,"CHAPTER 47 - HEALTH, SAFETY, AND SANITATION"
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_APXAZOOROX,APPENDIX A - ZONING ORDINANCE FOR THE CITY OF OXFORD
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=COOR_APXBBULICO,APPENDIX B - BUSINESS LICENSE CODE
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,CODE COMPARATIVE TABLE - ORDINANCES
Oxford,https://library.municode.com/al/oxford/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
