county,url,link_text
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=10178,Code of Ordinances
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=THCOORTAAL,"THE CODE OF ORDINANCES CITY OF TARRANT, ALABAMA




 (This content was modified in this version of the code.)
modified"
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_CH3ANFO,Chapter 3 - ANIMALS AND FOWL
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_CH4BUCOREAC,"Chapter 4 - BUILDINGS, CONSTRUCTION AND RELATED ACTIVITIES"
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_CH5BULITARE,"Chapter 5 - BUSINESS LICENSES, TAXES AND REGULATIONS
 (This content was amended in this version of the code.)
amended"
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_CH6COCRPR,Chapter 6 - COURT AND CRIMINAL PROCEDURE
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_CH7FITA,Chapter 7 - FINANCE AND TAXATION
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_CH8FIPRPR,Chapter 8 - FIRE PROTECTION AND PREVENTION
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_CH9HESA,Chapter 9 - HEALTH AND SANITATION
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_CH10LI,Chapter 10 - LIBRARY
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_CH11MUUTSE,Chapter 11 - MUNICIPAL UTILITIES AND SERVICES
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_CH12OFMIPR,Chapter 12 - OFFENSES AND MISCELLANEOUS PROVISIONS
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_CH13PARE,Chapter 13 - PARKS AND RECREATION
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_CH14PE,Chapter 14 - PERSONNEL
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_CH15PLDE,Chapter 15 - PLANNING AND DEVELOPMENT
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_CH16STSI,Chapter 16 - STREETS AND SIDEWALKS
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_CH17TR,Chapter 17 - TRAFFIC
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_CH18VEHI,Chapter 18 - VEHICLES FOR HIRE
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_APXAZO,Appendix A - ZONING
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_APXBSTWAMASTOPPR,Appendix B - STORM WATER MANAGEMENT STANDARD OPERATING PROCEDURES
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_CD_COMPARATIVE_TABLE1931CO,CODE COMPARATIVE TABLE - 1931 CODE
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_CD_COMPARATIVE_TABLEOR,"CODE COMPARATIVE TABLE - ORDINANCES




 (This content was modified in this version of the code.)
modified"
Tarrant,https://library.municode.com/al/tarrant/codes/code_of_ordinances?nodeId=COOR_STLARETA,STATE LAW REFERENCE TABLE
