county,url,link_text
Springerville,https://library.municode.com/az/springerville/codes/code_of_ordinances?nodeId=16725,Code of Ordinances
Springerville,https://library.municode.com/az/springerville/codes/code_of_ordinances?nodeId=TOWN_SPRINGERVILLE_ARIZONA_MUNICIPAL_CODE,"TOWN OF SPRINGERVILLE, ARIZONA MUNICIPAL CODE"
Springerville,https://library.municode.com/az/springerville/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Springerville,https://library.municode.com/az/springerville/codes/code_of_ordinances?nodeId=TIT1GEPR,Title 1 - GENERAL PROVISIONS
Springerville,https://library.municode.com/az/springerville/codes/code_of_ordinances?nodeId=TIT2ADPE,Title 2 - ADMINISTRATION AND PERSONNEL
Springerville,https://library.municode.com/az/springerville/codes/code_of_ordinances?nodeId=TIT3REFI,Title 3 - REVENUE AND FINANCE
Springerville,https://library.municode.com/az/springerville/codes/code_of_ordinances?nodeId=TIT5BULIRE,Title 5 - BUSINESS LICENSES AND REGULATIONS
Springerville,https://library.municode.com/az/springerville/codes/code_of_ordinances?nodeId=TIT6AN,Title 6 - ANIMALS
Springerville,https://library.municode.com/az/springerville/codes/code_of_ordinances?nodeId=TIT8HESA,Title 8 - HEALTH AND SAFETY
Springerville,https://library.municode.com/az/springerville/codes/code_of_ordinances?nodeId=TIT9PUPEMOWE,"Title 9 - PUBLIC PEACE, MORALS AND WELFARE"
Springerville,https://library.municode.com/az/springerville/codes/code_of_ordinances?nodeId=TIT10VETR,Title 10 - VEHICLES AND TRAFFIC
Springerville,https://library.municode.com/az/springerville/codes/code_of_ordinances?nodeId=TIT12STSIPUPL,"Title 12 - STREETS, SIDEWALKS AND PUBLIC PLACES"
Springerville,https://library.municode.com/az/springerville/codes/code_of_ordinances?nodeId=TIT13PUSE,Title 13 - PUBLIC SERVICES
Springerville,https://library.municode.com/az/springerville/codes/code_of_ordinances?nodeId=TIT15BUCO,Title 15 - BUILDINGS AND CONSTRUCTION
Springerville,https://library.municode.com/az/springerville/codes/code_of_ordinances?nodeId=TIT16SU,Title 16 - SUBDIVISIONS
Springerville,https://library.municode.com/az/springerville/codes/code_of_ordinances?nodeId=TIT17ZO,Title 17 - ZONING*
Springerville,https://library.municode.com/az/springerville/codes/code_of_ordinances?nodeId=TAX_CODE_TOWN_SPRINGERVILLE,* TAX CODE OF THE TOWN OF SPRINGERVILLE
Springerville,https://library.municode.com/az/springerville/codes/code_of_ordinances?nodeId=STREARCITO,STATUTORY REFERENCES FOR ARIZONA CITIES AND TOWNS
Springerville,https://library.municode.com/az/springerville/codes/code_of_ordinances?nodeId=PRCOCRFETA,PRIOR CODE CROSS-REFERENCE TABLE
Springerville,https://library.municode.com/az/springerville/codes/code_of_ordinances?nodeId=ORLIDITA,ORDINANCE LIST AND DISPOSITION TABLE
Springerville,https://library.municode.com/az/springerville/codes/code_of_ordinances?nodeId=COCOTADILI,CODE COMPARATIVE TABLE AND DISPOSITION LIST
