county,url,link_text
Alameda County,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances?nodeId=16425,Code of Ordinances
Alameda County,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances?nodeId=ALAMEDA_CO_CALIFORNIAMUCO,"ALAMEDA COUNTY, CALIFORNIA - MUNICIPAL CODE




 (This content was modified in this version of the code.)
modified"
Alameda County,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Alameda County,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances?nodeId=TIT1GEPR,Title 1 - GENERAL PROVISIONS
Alameda County,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances?nodeId=TIT2REFI,Title 2 - REVENUE AND FINANCE
Alameda County,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances?nodeId=TIT3BULIRE,Title 3 - BUSINESS LICENSES AND REGULATIONS
Alameda County,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances?nodeId=TIT5AN,Title 5 - ANIMALS
Alameda County,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances?nodeId=TIT6HESA,Title 6 - HEALTH AND SAFETY
Alameda County,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances?nodeId=TIT7GEAS,Title 7 - GENERAL ASSISTANCE
Alameda County,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances?nodeId=TIT9PUPEMOWE,"Title 9 - PUBLIC PEACE, MORALS AND WELFARE"
Alameda County,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances?nodeId=TIT10VETR,Title 10 - VEHICLES AND TRAFFIC
Alameda County,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances?nodeId=TIT12PUROPA,Title 12 - PUBLIC ROADWAYS AND PARKS
Alameda County,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances?nodeId=TIT13PUSE,Title 13 - PUBLIC SERVICES
Alameda County,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances?nodeId=TIT15BUCO,Title 15 - BUILDINGS AND CONSTRUCTION
Alameda County,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances?nodeId=TIT16SU,Title 16 - SUBDIVISIONS
Alameda County,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances?nodeId=TIT17ZO,Title 17 - ZONING
Alameda County,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances?nodeId=STRECACO,STATUTORY REFERENCES FOR CALIFORNIA COUNTIES
Alameda County,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances?nodeId=PRCOCRRETA,PRIOR CODE CROSS REFERENCE TABLE
Alameda County,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances?nodeId=ORLIDITA,ORDINANCE LIST AND DISPOSITION TABLE
Alameda County,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances?nodeId=COCOTADILI,"CODE COMPARATIVE TABLE AND DISPOSITION LIST




 (This content was modified in this version of the code.)
modified"
