county,url,link_text
East Palo Alto,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances?nodeId=16328,Code of Ordinances
East Palo Alto,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances?nodeId=EAPAALCA,"EAST PALO ALTO, CALIFORNIA"
East Palo Alto,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
East Palo Alto,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances?nodeId=TIT1GEPR,Title 1 - GENERAL PROVISIONS
East Palo Alto,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances?nodeId=TIT2ADPE,Title 2 - ADMINISTRATION AND PERSONNEL
East Palo Alto,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances?nodeId=TIT3REFI,Title 3 - REVENUE AND FINANCE
East Palo Alto,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances?nodeId=TIT5BULIRE,Title 5 - BUSINESS LICENSES AND REGULATIONS
East Palo Alto,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances?nodeId=TIT6AN,Title 6 - ANIMALS
East Palo Alto,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances?nodeId=TIT8HESA,Title 8 - HEALTH AND SAFETY
East Palo Alto,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances?nodeId=TIT9PUPEMOWE,"Title 9 - PUBLIC PEACE, MORALS AND WELFARE"
East Palo Alto,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances?nodeId=TIT10VETR,Title 10 - VEHICLES AND TRAFFIC
East Palo Alto,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances?nodeId=TIT12STSIPUPL,"Title 12 - STREETS, SIDEWALKS AND PUBLIC PLACES"
East Palo Alto,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances?nodeId=TIT13PUSE,Title 13 - PUBLIC SERVICES
East Palo Alto,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances?nodeId=TIT14HO,Title 14 - HOUSING
East Palo Alto,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances?nodeId=TIT15BUCO,Title 15 - BUILDINGS AND CONSTRUCTION
East Palo Alto,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances?nodeId=TIT17ENCO,Title 17 - ENVIRONMENTAL CONTROL
East Palo Alto,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances?nodeId=EAPAALDECO2018EDCUORNO02-2022ADMA32022,"EAST PALO ALTO DEVELOPMENT CODE 2018 EDITION Current as of: Ordinance No. 02-2022, adopted May 3, 2022"
East Palo Alto,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances?nodeId=STRECACI,STATUTORY REFERENCES FOR CALIFORNIA CITIES
East Palo Alto,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances?nodeId=CRFETA,CROSS-REFERENCE TABLE
East Palo Alto,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances?nodeId=ORLIDITA,ORDINANCE LIST AND DISPOSITION TABLE
East Palo Alto,https://library.municode.com/ca/east_palo_alto/codes/code_of_ordinances?nodeId=COCOTADILI,CODE COMPARATIVE TABLE AND DISPOSITION LIST
