county,url,link_text
Fontana,https://library.municode.com/ca/fontana/codes/code_of_ordinances?nodeId=12233,Code of Ordinances
Fontana,https://library.municode.com/ca/fontana/codes/code_of_ordinances?nodeId=THCOFOCA,"THE CODE OF THE CITY OF FONTANA, CALIFORNIA"
Fontana,https://library.municode.com/ca/fontana/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Fontana,https://library.municode.com/ca/fontana/codes/code_of_ordinances?nodeId=CO_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Fontana,https://library.municode.com/ca/fontana/codes/code_of_ordinances?nodeId=CO_CH2AD,Chapter 2 - ADMINISTRATION
Fontana,https://library.municode.com/ca/fontana/codes/code_of_ordinances?nodeId=CO_CH3ADSI,Chapter 3 - ADVERTISING AND SIGNS
Fontana,https://library.municode.com/ca/fontana/codes/code_of_ordinances?nodeId=CO_CH4AN,Chapter 4 - ANIMALS
Fontana,https://library.municode.com/ca/fontana/codes/code_of_ordinances?nodeId=CO_CH5BUBURE,Chapter 5 - BUILDINGS AND BUILDING REGULATIONS
Fontana,https://library.municode.com/ca/fontana/codes/code_of_ordinances?nodeId=CO_CH6RECATEVISEFR,Chapter 6 - REGULATION OF CABLE TELEVISION AND VIDEO SERVICE FRANCHISES
Fontana,https://library.municode.com/ca/fontana/codes/code_of_ordinances?nodeId=CO_CH7EL,Chapter 7 - ELECTIONS
Fontana,https://library.municode.com/ca/fontana/codes/code_of_ordinances?nodeId=CO_CH8EMPR,Chapter 8 - EMERGENCY PREPAREDNESS
Fontana,https://library.municode.com/ca/fontana/codes/code_of_ordinances?nodeId=CO_CH9ENPRREEX,Chapter 9 - ENVIRONMENTAL PROTECTION AND RESOURCE EXTRACTION
Fontana,https://library.municode.com/ca/fontana/codes/code_of_ordinances?nodeId=CO_CH10FITA,Chapter 10 - FINANCE AND TAXATION
Fontana,https://library.municode.com/ca/fontana/codes/code_of_ordinances?nodeId=CO_CH11FIPR,Chapter 11 - FIRE PREVENTION
Fontana,https://library.municode.com/ca/fontana/codes/code_of_ordinances?nodeId=CO_CH12FLCO,Chapter 12 - FLOOD CONTROL
