county,url,link_text
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=16495,Code of Ordinances
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=THE_MODOC_CO_CODE1984,THE MODOC COUNTY CODE - 1984
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=TIT1GEPR,Title 1 - GENERAL PROVISIONS
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=TIT2ADPE,Title 2 - ADMINISTRATION AND PERSONNEL
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=TIT3REFI,Title 3 - REVENUE AND FINANCE
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=TIT4ADJU,Title 4 - ADMINISTRATION OF JUSTICE
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=TIT5BULIRE,Title 5 - BUSINESS LICENSES AND REGULATIONS
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=TIT6AN,Title 6 - ANIMALS
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=TIT8HESA,Title 8 - HEALTH AND SAFETY
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=TIT9PUPEMOWE,"Title 9 - PUBLIC PEACE, MORALS AND WELFARE"
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=TIT10VETR,Title 10 - VEHICLES AND TRAFFIC
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=TIT12STSIPUPL,"Title 12 - STREETS, SIDEWALKS AND PUBLIC PLACES"
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=TIT13PUSE,Title 13 - PUBLIC SERVICES
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=TIT15BURE,Title 15 - BUILDING REGULATIONS
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=TIT16AI,Title 16 - AIRPORTS
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=TIT17SU,Title 17 - SUBDIVISIONS
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=TIT18ZO,Title 18 - ZONING
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=TIT19COLAUSPL,Title 19 - COMPREHENSIVE LAND USE PLAN
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=TIT20GR,Title 20 - GROUNDWATER
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=STRECACO,STATUTORY REFERENCES FOR CALIFORNIA COUNTIES
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=ORLIDITA,ORDINANCE LIST AND DISPOSITION TABLE
Modoc County,https://library.municode.com/ca/modoc_county/codes/code_of_ordinances?nodeId=COCOTADILI,CODE COMPARATIVE TABLE AND DISPOSITION LIST
