county,url,link_text
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=16295,Code of Ordinances
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=THCOCOCO,"THE CODE OF THE CITY OF CORTEZ, COLORADO"
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=PTITHCH_PRST,Prefatory Statement.
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=PTITHCH_PR,Preamble.
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=PTITHCH_ARTINABOPORILIFOGO,"Article I. - Name, Boundaries, Powers, Rights, Liabilities and Form of Government."
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=PTITHCH_ARTIIMUOF,Article II. - Municipal Officials.
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=PTITHCH_ARTIIITHCO,Article III. - The Council.
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=PTITHCH_ARTIVEL,Article IV. - Elections.
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=PTITHCH_ARTVAPOF,Article V. - Appointed Officials.
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=PTITHCH_ARTVIMUCOAT,Article VI. - Municipal Court and City Attorney.
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=PTITHCH_ARTVIIFIAD,Article VII. - Finance Administration.
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=PTITHCH_ARTVIIIMUBO,Article VIII. - Municipal Borrowing.
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=PTITHCH_ARTIXDEGESE,Article IX. - Department of General Services.
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=PTITHCH_ARTXFRPUUT,Article X. - Franchises and Public Utilities.
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=PTITHCH_ARTXIDEMUPUUT,Article XI. - Department of Municipal Public Utilities.
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=PTITHCH_ARTXIIINRERE,"Article XII. - Initiative, Referendum and Recall."
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=PTITHCH_ARTXIIIPUWOPUIM,Article XIII. - Public Works and Public Improvements.
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=PTITHCH_ARTXIVDEPARE,Article XIV. - Department of Parks and Recreation.
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=PTITHCH_ARTXVPODE,Article XV. - Police Department.
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=PTITHCH_ARTXVIDEFIRENO31987,"Article XVI. - Department of Fire. Repealed November 3, 1987."
Cortez,https://library.municode.com/co/cortez/codes/code_of_ordinances?nodeId=PTITHCH_ARTXVIIDEHE,Article XVII. - Department of Health.
