county,url,link_text
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=13296,Code of Ordinances
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=PREFACE,PREFACE
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=THCHTOGRCO,"THE CHARTER OF THE TOWN OF GREENWICH, CONNECTICUT"
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH1GEPR,CHAPTER 1. - GENERAL PROVISIONS.
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH2.AD,CHAPTER 2. ADMINISTRATION
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH2A.ALDE,CHAPTER 2A. ALARM DEVICES
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH3.BU,CHAPTER 3. BUSINESSES.
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH4.HE,CHAPTER 4. HEALTH
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH5.HO,CHAPTER 5. HOUSING.
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH6.LAUS,CHAPTER 6. LAND USE
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH6A.NE,CHAPTER 6A. NEWSRACKS.
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH6B.NO,CHAPTER 6B. NOISE.
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH6C.NU,CHAPTER 6C. NUISANCES
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH6D.BLBUPR,CHAPTER 6D. BLIGHTED BUILDINGS AND PROPERTIES
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH7.PARE,CHAPTER 7. PARKS AND RECREATION
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH7A.HAMACO,CHAPTER 7A. HARBOR MANAGEMENT COMMISSION.
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH8.PO,CHAPTER 8. POLLUTION
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH8A.RE,CHAPTER 8A. RECYCLING.
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH9.WALI,CHAPTER 9. WASTE AND LITTER
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH10.SEWA,CHAPTER 10. SEWERS AND WATER.
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH11.ST,CHAPTER 11. STREETS.
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH12.TA,CHAPTER 12. TAXATION.
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH13.TRSHWOVE,"CHAPTER 13. TREES, SHRUBS AND WOODY VEGETATION"
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH14.VETR,CHAPTER 14. VEHICLES AND TRAFFIC.
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH15.UT,CHAPTER 15. UTILITIES.
Greenwich,https://library.municode.com/ct/greenwich/codes/code_of_ordinances?nodeId=CH16.DISTNU,CHAPTER 16. DISPLAYING OF STREET NUMBERS.
