county,url,link_text
Leesburg,https://library.municode.com/fl/leesburg/codes/code_of_ordinances?nodeId=10282,Code of Ordinances
Leesburg,https://library.municode.com/fl/leesburg/codes/code_of_ordinances?nodeId=COORLEFL,"CODE OF ORDINANCES OF CITY OF LEESBURG, FLORIDA"
Leesburg,https://library.municode.com/fl/leesburg/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Leesburg,https://library.municode.com/fl/leesburg/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Leesburg,https://library.municode.com/fl/leesburg/codes/code_of_ordinances?nodeId=CHTR_COMPARATIVE_TABLEOR,CHARTER COMPARATIVE TABLE - ORDINANCES
Leesburg,https://library.municode.com/fl/leesburg/codes/code_of_ordinances?nodeId=CHTR_COMPARATIVE_TABLELAFL,CHARTER COMPARATIVE TABLE - LAWS OF FLORIDA
Leesburg,https://library.municode.com/fl/leesburg/codes/code_of_ordinances?nodeId=PTIICOOR,PART II - CODE OF ORDINANCES
Leesburg,https://library.municode.com/fl/leesburg/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1953CO,CODE COMPARATIVE TABLE - 1953 CODE
Leesburg,https://library.municode.com/fl/leesburg/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLELAFL,CODE COMPARATIVE TABLE - LAWS OF FLORIDA
Leesburg,https://library.municode.com/fl/leesburg/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,CODE COMPARATIVE TABLE - ORDINANCES
Leesburg,https://library.municode.com/fl/leesburg/codes/code_of_ordinances?nodeId=STRETA,STATUTORY REFERENCE TABLE
