county,url,link_text
St. Leo,https://library.municode.com/fl/st._leo/codes/code_of_ordinances?nodeId=13795,Code of Ordinances
St. Leo,https://library.municode.com/fl/st._leo/codes/code_of_ordinances?nodeId=COORTOSTLEFL,"CODE OF ORDINANCES TOWN OF ST. LEO, FLORIDA"
St. Leo,https://library.municode.com/fl/st._leo/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
St. Leo,https://library.municode.com/fl/st._leo/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
St. Leo,https://library.municode.com/fl/st._leo/codes/code_of_ordinances?nodeId=PTIICOOR,PART II - CODE OF ORDINANCES
St. Leo,https://library.municode.com/fl/st._leo/codes/code_of_ordinances?nodeId=APA.FR,APPENDIX A. FRANCHISES
St. Leo,https://library.municode.com/fl/st._leo/codes/code_of_ordinances?nodeId=PTIIILADECO,PART III - LAND DEVELOPMENT CODE
St. Leo,https://library.municode.com/fl/st._leo/codes/code_of_ordinances?nodeId=PTIVCOPL,PART IV - COMPREHENSIVE PLAN
St. Leo,https://library.municode.com/fl/st._leo/codes/code_of_ordinances?nodeId=COCOTA1982CO,CODE COMPARATIVE TABLE 1982 CODE
St. Leo,https://library.municode.com/fl/st._leo/codes/code_of_ordinances?nodeId=COCOTAOR,"CODE COMPARATIVE TABLE ORDINANCES




 (This content was modified in this version of the code.)
modified"
St. Leo,https://library.municode.com/fl/st._leo/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
