county,url,link_text
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=16176,Code of Ordinances
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=AUBURN_GEORGIAMUCO2005,"AUBURN, GEORGIA - MUNICIPAL CODE 2005




 (This content was modified in this version of the code.)
modified"
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=CH,CHARTER
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=TIT1GEPR,Title 1 - GENERAL PROVISIONS
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=TIT2ADPE,Title 2 - ADMINISTRATION AND PERSONNEL
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=TIT3REFI,Title 3 - REVENUE AND FINANCE
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=TIT4DODEAU,Title 4 - DOWNTOWN DEVELOPMENT AUTHORITY
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=TIT5BULIRE,Title 5 - BUSINESS LICENSES AND REGULATIONS
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=TIT6AN,Title 6 - ANIMALS
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=TIT8HESA,Title 8 - HEALTH AND SAFETY
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=TIT9PUPEMOWE,"Title 9 - PUBLIC PEACE, MORALS AND WELFARE"
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=TIT10VETR,Title 10 - VEHICLES AND TRAFFIC
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=TIT12STSIPUPL,"Title 12 - STREETS, SIDEWALKS AND PUBLIC PLACES"
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=TIT13PUSE,Title 13 - PUBLIC SERVICES
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=TIT15BUCO,Title 15 - BUILDINGS AND CONSTRUCTION
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=TIT16DEREAU,Title 16 - DEVELOPMENT REGULATIONS OF THE CITY OF AUBURN
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=TIT17ZO,Title 17 - ZONING
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=TIT18EN,Title 18 - ENVIRONMENT
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=STREGECITO,STATUTORY REFERENCES FOR GEORGIA CITIES AND TOWNS
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=ORDILI,ORDINANCE AND DISPOSITION LIST
Auburn,https://library.municode.com/ga/auburn/codes/code_of_ordinances?nodeId=COCOTADILI,"CODE COMPARATIVE TABLE AND DISPOSITION LIST




 (This content was modified in this version of the code.)
modified"
