county,url,link_text
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=14810,Code of Ordinances
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=CD_BRUNSWICK_GEORGIA,"CODE OF THE CITY OF BRUNSWICK, GEORGIA"
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH2AD,Chapter 2 - ADMINISTRATION
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH3ALBE,Chapter 3 - ALCOHOLIC BEVERAGES
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH4ANCO,Chapter 4 - ANIMAL CONTROL
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH5BUBURE,Chapter 5 - BUILDINGS AND BUILDING REGULATIONS
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH6CATE,Chapter 6 - CABLE TELEVISION
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH7CEBU,Chapter 7 - CEMETERIES AND BURIALS
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH8DOHAWA,"Chapter 8 - DOCKS, HARBORS AND WATERCRAFT"
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH9EL,Chapter 9 - ELECTIONS
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH10FIPRPR,Chapter 10 - FIRE PREVENTION AND PROTECTION
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH11FLDAPR,Chapter 11 - FLOOD DAMAGE PREVENTION
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH12HO,Chapter 12 - HOUSING
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH13LIBURE,Chapter 13 - LICENSES AND BUSINESS REGULATIONS
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH14MOVETR,Chapter 14 - MOTOR VEHICLES AND TRAFFIC
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH15MUCO,Chapter 15 - MUNICIPAL COURT
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH16OFMIPR,Chapter 16 - OFFENSES AND MISCELLANEOUS PROVISIONS
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH17SOERSECO,Chapter 17 - SOIL EROSION AND SEDIMENTATION CONTROL
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH18SOWAMA,Chapter 18 - SOLID WASTE MANAGEMENT
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH19STSI,Chapter 19 - STREETS AND SIDEWALKS
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH20TA,Chapter 20 - TAXATION
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH21TA,Chapter 21 - TAXICABS
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH22UT,Chapter 22 - UTILITIES
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH22ASTMA,Chapter 22A - STORMWATER MANAGEMENT
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH22BWIFAAN,Chapter 22B - WIRELESS FACILITIES AND ANTENNAS
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH23ZO,"Chapter 23 - ZONING




 (This content was modified in this version of the code.)
modified"
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH24COET,Chapter 24 - CODE OF ETHICS
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH25CLCOOR,Chapter 25 - CLEAN COMMUNITY ORDINANCE
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH26EMMAOR,Chapter 26 - EMERGENCY MANAGEMENT ORDINANCE
Brunswick,https://library.municode.com/ga/brunswick/codes/code_of_ordinances?nodeId=PTIICO_CH27SHRMRE,Chapter 27 - SHORT-TERM RENTALS
