county,url,link_text
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=13589,Code of Ordinances
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=THCOBUVIGE,"THE CODE OF THE CITY OF BUENA VISTA, GEORGIA"
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=PTIICOOR_CH4ALBE,Chapter 4 - ALCOHOLIC BEVERAGES
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=PTIICOOR_CH6AN,Chapter 6 - ANIMALS
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=PTIICOOR_CH8BUBURE,Chapter 8 - BUILDINGS AND BUILDING REGULATIONS
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=PTIICOOR_CH10BU,Chapter 10 - BUSINESSES
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=PTIICOOR_CH12CE,Chapter 12 - CEMETERIES
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=PTIICOOR_CH14CO,Chapter 14 - COURT
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=PTIICOOR_CH16FIPRPR,Chapter 16 - FIRE PREVENTION AND PROTECTION
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=PTIICOOR_CH18HESA,Chapter 18 - HEALTH AND SANITATION
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=PTIICOOR_CH20LAEN,Chapter 20 - LAW ENFORCEMENT
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=PTIICOOR_CH22MAMOHO,Chapter 22 - MANUFACTURED/MOBILE HOMES
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=PTIICOOR_CH24OFMIPR,Chapter 24 - OFFENSES AND MISCELLANEOUS PROVISIONS
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=PTIICOOR_CH26SOWA,Chapter 26 - SOLID WASTE
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=PTIICOOR_CH28STSIOTPUPL,"Chapter 28 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=PTIICOOR_CH30TA,Chapter 30 - TAXATION
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=PTIICOOR_CH32TE,Chapter 32 - TELECOMMUNICATIONS
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=PTIICOOR_CH34TRVE,Chapter 34 - TRAFFIC AND VEHICLES
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=PTIICOOR_CH36UT,Chapter 36 - UTILITIES
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=PTIICOOR_APXAZO,Appendix A - ZONING
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEPRCO,CODE COMPARATIVE TABLE - PRIOR CODE
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE2004CO,CODE COMPARATIVE TABLE - 2004 CODE
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLELE,CODE COMPARATIVE TABLE - LEGISLATION
Buena Vista,https://library.municode.com/ga/buena_vista/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
