county,url,link_text
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=11798,Code of Ordinances
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=COORCAGE,"CODE OF ORDINANCES CITY OF CAIRO, GEORGIA"
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH3AIAI,Chapter 3 - AIRPORTS AND AIRCRAFT
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH4ALBE,Chapter 4 - ALCOHOLIC BEVERAGES
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH5ANFO,Chapter 5 - ANIMALS AND FOWL
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH6BUCOREAC,Chapter 6 - BUILDINGS; CONSTRUCTION AND RELATED ACTIVITIES
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH7CE,Chapter 7 - CEMETERIES
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH9COCRPR,Chapter 9 - COURT AND CRIMINAL PROCEDURE
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH10FI,Chapter 10 - FINANCE
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH11FIPR,Chapter 11 - FIRE PREVENTION
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH12HESA,Chapter 12 - HEALTH AND SANITATION
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH13MUUTSE,Chapter 13 - MUNICIPAL UTILITIES AND SERVICES
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH14OCTARE,Chapter 14 - OCCUPATION TAXES AND REGULATIONS
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH15OFMIPR,Chapter 15 - OFFENSES AND MISCELLANEOUS PROVISIONS
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH16PE,Chapter 16 - PERSONNEL
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH17PLDE,Chapter 17 - PLANNING AND DEVELOPMENT
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH18STSI,Chapter 18 - STREETS AND SIDEWALKS
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH19SU,Chapter 19 - SUBDIVISIONS
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH20TR,Chapter 20 - TRAFFIC
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH21VEHI,Chapter 21 - VEHICLES FOR HIRE
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH22ZO,Chapter 22 - ZONING
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CH24PAREAR,Chapter 24 - PARKS AND RECREATION AREAS
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CD_COMPARATIVE_TABLE1965CO,CODE COMPARATIVE TABLE - 1965 CODE
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_CD_COMPARATIVE_TABLEOR,CODE COMPARATIVE TABLE - ORDINANCES
Cairo,https://library.municode.com/ga/cairo/codes/code_of_ordinances?nodeId=PTIICOOR_STRETA,STATUTORY REFERENCE TABLE
