county,url,link_text
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=13305,Code of Ordinances
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=COORCOCOGE,"CODE OF ORDINANCES COOK COUNTY, GEORGIA"
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIRELA,PART I - RELATED LAWS
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH6ALBE,Chapter 6 - ALCOHOLIC BEVERAGES
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH10AMEN,Chapter 10 - AMUSEMENTS AND ENTERTAINMENT
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH14AN,Chapter 14 - ANIMALS
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH18BUBURE,Chapter 18 - BUILDINGS AND BUILDING REGULATIONS
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH22BU,Chapter 22 - BUSINESSES
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH26CIEM,Chapter 26 - CIVIL EMERGENCIES
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH27CO,Chapter 27 - COURTS
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH28EL,Chapter 28 - ELECTIONS
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH30EN,Chapter 30 - ENVIRONMENT
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH34FL,Chapter 34 - FLOODS
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH38OFMIPR,Chapter 38 - OFFENSES AND MISCELLANEOUS PROVISIONS
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH42PL,Chapter 42 - PLANNING
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH46ROBR,Chapter 46 - ROADS AND BRIDGES
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH50SI,Chapter 50 - SIGNS
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH54SOWA,Chapter 54 - SOLID WASTE
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH58SU,Chapter 58 - SUBDIVISIONS
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH62TA,Chapter 62 - TAXATION
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH66TRVE,Chapter 66 - TRAFFIC AND VEHICLES
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=PTIICOOR_APXAZOOR,APPENDIX A - ZONING ORDINANCE
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE_DATE_CODE,CODE COMPARATIVE TABLE (date) CODE
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=COCOTA,CODE COMPARATIVE TABLE
Cook County,https://library.municode.com/ga/cook_county/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
