county,url,link_text
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=14835,Code of Ordinances
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=THCOCUGE,"THE CODE OF CUMMING, GEORGIA"
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=PTICH,CHARTER
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SPAGEOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SPAGEOR_CH2AD,Chapter 2 - ADMINISTRATION
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SPAGEOR_CH4ALBE,Chapter 4 - ALCOHOLIC BEVERAGES
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SPAGEOR_CH6AN,Chapter 6 - ANIMALS
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SPAGEOR_CH8EMMAEMSE,Chapter 8 - EMERGENCY MANAGEMENT AND EMERGENCY SERVICES
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SPAGEOR_CH10ENNARE,Chapter 10 - ENVIRONMENT AND NATURAL RESOURCES
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SPAGEOR_CH12FE,Chapter 12 - FEES
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SPAGEOR_CH14LITAMIBURE,"Chapter 14 - LICENSES, TAXATION AND MISCELLANEOUS BUSINESS REGULATIONS"
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SPAGEOR_CH16NU,Chapter 16 - NUISANCES
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SPAGEOR_CH18OFMIPR,Chapter 18 - OFFENSES AND MISCELLANEOUS PROVISIONS
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SPAGEOR_CH20STSIOTPUPL,"Chapter 20 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SPAGEOR_CH22TRVE,Chapter 22 - TRAFFIC AND VEHICLES
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SPBPLZODEUT_CH101GEADPR,Chapter 101 - GENERAL AND ADMINISTRATIVE PROVISIONS
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SPBPLZODEUT_CH103BUBURE,Chapter 103 - BUILDINGS AND BUILDING REGULATIONS
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SPBPLZODEUT_CH105FLDAPR,Chapter 105 - FLOOD DAMAGE PREVENTION
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SPBPLZODEUT_CH107SOERSEPOCO,"Chapter 107 - SOIL EROSION, SEDIMENTATION AND POLLUTION CONTROL"
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SPBPLZODEUT_CH109SULADERECOSP,Chapter 109 - SUBDIVISION AND LAND DEVELOPMENT REGULATIONS AND CONSTRUCTION SPECIFICATIONS
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SPBPLZODEUT_CH111UT,Chapter 111 - UTILITIES
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SPBPLZODEUT_CH113ZO,Chapter 113 - ZONING
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SPBPLZODEUT_CH114IMFE,Chapter 114 - IMPACT FEES
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=SPBPLZODEUT_APXAFRAG,Appendix A - FRANCHISES AND AGREEMENTS
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=COCOTA1998CO,CODE COMPARATIVE TABLE 1998 CODE
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=COCOTAOR,"CODE COMPARATIVE TABLE ORDINANCES




 (This content was modified in this version of the code.)
modified"
Cumming,https://library.municode.com/ga/cumming/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
