county,url,link_text
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=13280,Code of Ordinances
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=THCODOGE,"THE CODE OF THE CITY OF DOERUN, GEORGIA"
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTICHRELA_SPACH,Subpart A - CHARTER
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTICHRELA_CHTR_COMPARATIVE_TABLEGELA,CHARTER COMPARATIVE TABLE - GEORGIA LAWS
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTICHRELA_CHTR_COMPARATIVE_TABLELE,CHARTER COMPARATIVE TABLE - LEGISLATION
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTICHRELA_SPBRELA,Subpart B - RELATED LAWS
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTICHRELA_RELATED_LAWS_COMPARATIVE_TABLEGELA,RELATED LAWS COMPARATIVE TABLE - GEORGIA LAWS
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH4AD,Chapter 4 - ADVERTISING
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH6ALBE,Chapter 6 - ALCOHOLIC BEVERAGES
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH8AMEN,Chapter 8 - AMUSEMENTS AND ENTERTAINMENTS
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH10AN,Chapter 10 - ANIMALS
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH12BUBURE,Chapter 12 - BUILDINGS AND BUILDING REGULATIONS
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH14BU,Chapter 14 - BUSINESSES
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH16CE,Chapter 16 - CEMETERIES
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH18EL,Chapter 18 - ELECTIONS
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH20EMMAEMSE,Chapter 20 - EMERGENCY MANAGEMENT AND EMERGENCY SERVICES
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH22ENNARE,Chapter 22 - ENVIRONMENT AND NATURAL RESOURCES
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH24FIPRPR,Chapter 24 - FIRE PREVENTION AND PROTECTION
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH26LAEN,Chapter 26 - LAW ENFORCEMENT
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH28MUCO,Chapter 28 - MUNICIPAL COURT
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH30OFMIPR,Chapter 30 - OFFENSES AND MISCELLANEOUS PROVISIONS
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH32PESO,Chapter 32 - PEDDLERS AND SOLICITORS
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH34PL,Chapter 34 - PLANNING
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH36SOWA,Chapter 36 - SOLID WASTE
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH38STSIOTPUPL,"Chapter 38 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH40TA,Chapter 40 - TAXATION
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH42TRVE,Chapter 42 - TRAFFIC AND VEHICLES
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH44UT,Chapter 44 - UTILITIES
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=PTIICOOR_CH46ZO,Chapter 46 - ZONING
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1982CO2000CO,CODE COMPARATIVE TABLE - 1982 CODE TO 2000 CODE
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1982CO2017CO,CODE COMPARATIVE TABLE - 1982 CODE TO 2017 CODE
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE2000CO2017CO,CODE COMPARATIVE TABLE - 2000 CODE TO 2017 CODE
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR2000CO,CODE COMPARATIVE TABLE - ORDINANCES IN 2000 CODE
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR2017CO,CODE COMPARATIVE TABLE - ORDINANCES IN 2017 CODE
Doerun,https://library.municode.com/ga/doerun/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
