county,url,link_text
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=10190,Code of Ordinances
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=THCOORDOGE,"THE CODE OF ORDINANCES OF THE CITY OF DOUGLASVILLE, GEORGIA"
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=CHCOTA,CHARTER COMPARATIVE TABLE
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH2AD,Chapter 2 - ADMINISTRATION
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH6AD,Chapter 6 - ADVERTISING
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH10ALBE,Chapter 10 - ALCOHOLIC BEVERAGES
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH14AMEN,Chapter 14 - AMUSEMENTS AND ENTERTAINMENTS
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH18AN,Chapter 18 - ANIMALS
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH26BU,Chapter 26 - BUSINESSES
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH28CEBUGRPR,Chapter 28 - CEMETERY AND BURIAL GROUND PRESERVATION
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH30CIEM,Chapter 30 - CIVIL EMERGENCIES
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH33CAOTTESE,Chapter 33 - CABLE AND OTHER TELECOMMUNICATIONS SERVICES
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH34CODE,Chapter 34 - COMMUNITY DEVELOPMENT
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH38EN,Chapter 38 - ENVIRONMENT
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH42FIPRPR,Chapter 42 - FIRE PREVENTION AND PROTECTION
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH48HIPR,Chapter 48 - HISTORIC PRESERVATION
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH50HURE,Chapter 50 - HUMAN RELATIONS
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH58OFMIPR,Chapter 58 - OFFENSES AND MISCELLANEOUS PROVISIONS
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH62PARE,Chapter 62 - PARKS AND RECREATION
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH70SOWA,Chapter 70 - SOLID WASTE
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH74STOTPUPL,Chapter 74 - STREETS AND OTHER PUBLIC PLACES
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH78TA,Chapter 78 - TAXATION
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH82TRVE,Chapter 82 - TRAFFIC AND VEHICLES
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH86UT,Chapter 86 - UTILITIES
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_CH90VEHI,Chapter 90 - VEHICLES FOR HIRE
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=PTIICO_APXAUNDEOR,Appendix A - UNIFIED DEVELOPMENT ORDINANCE
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=COCOTA1977CO,CODE COMPARATIVE TABLE 1977 CODE
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEORRE,CODE COMPARATIVE TABLE - ORDINANCES AND RESOLUTIONS
Douglasville,https://library.municode.com/ga/douglasville/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
