county,url,link_text
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=12344,Code of Ordinances
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=COORDUGE,"CODE OF ORDINANCES CITY OF DULUTH, GEORGIA"
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=CHCOTA,CHARTER COMPARATIVE TABLE
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=PTIICOOR_CH3ALBECOLIRE,"Chapter 3 - ALCOHOLIC BEVERAGE CONSUMPTION, LICENSING AND REGULATIONS"
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=PTIICOOR_CH4ANFO,Chapter 4 - ANIMALS AND FOWL
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=PTIICOOR_CH5BUBURE,Chapter 5 - BUILDINGS AND BUILDING REGULATIONS
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=PTIICOOR_CH6FIPRPR,Chapter 6 - FIRE PREVENTION AND PROTECTION
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=PTIICOOR_CH7LIBURE,Chapter 7 - LICENSES AND BUSINESS REGULATIONS
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=PTIICOOR_CH8MOVETR,Chapter 8 - MOTOR VEHICLES AND TRAFFIC
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=PTIICOOR_CH9NU,Chapter 9 - NUISANCES
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=PTIICOOR_CH10OFMIPR,Chapter 10 - OFFENSES AND MISCELLANEOUS PROVISIONS
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=PTIICOOR_CH10.5PARE,Chapter 10.5 - PARKS AND RECREATION
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=PTIICOOR_CH11PO,Chapter 11 - POLICE
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=PTIICOOR_CH13SOWAMA,Chapter 13 - SOLID WASTE MANAGEMENT
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=PTIICOOR_CH15UT,Chapter 15 - UTILITIES
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=PTIICOOR_CH18STSIOTPUPL,"Chapter 18 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=PTIIIUNDECO,PART III - UNIFIED DEVELOPMENT CODE
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,CODE COMPARATIVE TABLE - ORDINANCES
Duluth,https://library.municode.com/ga/duluth/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
