county,url,link_text
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=15562,Code of Ordinances
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=THCOMCLEGE,"THE CODE OF THE CITY OF MCRAE-HELENA, GEORGIA"
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=CHCOTA,CHARTER COMPARATIVE TABLE
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=PTIICOOR_CH4ALBE,Chapter 4 - ALCOHOLIC BEVERAGES
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=PTIICOOR_CH8BUBURE,Chapter 8 - BUILDINGS AND BUILDING REGULATIONS
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=PTIICOOR_CH10EMMAEMSE,Chapter 10 - EMERGENCY MANAGEMENT AND EMERGENCY SERVICES
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=PTIICOOR_CH12ENNARE,Chapter 12 - ENVIRONMENT AND NATURAL RESOURCES
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=PTIICOOR_CH14FIPRPR,Chapter 14 - FIRE PREVENTION AND PROTECTION
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=PTIICOOR_CH18LITAMIRE,"Chapter 18 - LICENSES, TAXATION AND MISCELLANEOUS REGULATIONS"
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=PTIICOOR_CH20MUCO,Chapter 20 - MUNICIPAL COURT
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=PTIICOOR_CH22OFMIPR,Chapter 22 - OFFENSES AND MISCELLANEOUS PROVISIONS
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=PTIICOOR_CH24PARE,Chapter 24 - PARKS AND RECREATION
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=PTIICOOR_CH26SOWA,Chapter 26 - SOLID WASTE
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=PTIICOOR_CH32TRVE,Chapter 32 - TRAFFIC AND VEHICLES
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=PTIICOOR_APXAZO,Appendix A - ZONING
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=PTIICOOR_APXBFR,Appendix B - FRANCHISES
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLELE,CODE COMPARATIVE TABLE - LEGISLATION
McRae-Helena,https://library.municode.com/ga/mcrae-helena/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
