county,url,link_text
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=13064,Code of Ordinances
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=COORMOGE,"CODE OF ORDINANCES CITY OF MONROE, GEORGIA"
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=CHTR_COMPARATIVE_TABLEGELA,CHARTER COMPARATIVE TABLE - GEORGIA LAWS
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH6ALBE,Chapter 6 - ALCOHOLIC BEVERAGES
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH10AN,Chapter 10 - ANIMALS
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH14AV,Chapter 14 - AVIATION
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH18BUBURE,Chapter 18 - BUILDINGS AND BUILDING REGULATIONS
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH22BUBURE,Chapter 22 - BUSINESSES AND BUSINESS REGULATIONS
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH26CE,Chapter 26 - CEMETERIES
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH30CIEM,Chapter 30 - CIVIL EMERGENCIES
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH34CO,Chapter 34 - COURT
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH38EL,Chapter 38 - ELECTIONS
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH42EN,Chapter 42 - ENVIRONMENT
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH46FIPRPR,Chapter 46 - FIRE PROTECTION AND PREVENTION
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH54HIPR,Chapter 54 - HISTORIC PRESERVATION
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH58LAEN,Chapter 58 - LAW ENFORCEMENT
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH60MAHO,Chapter 60 - MANUFACTURED HOMES
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH62OFMIPR,Chapter 62 - OFFENSES AND MISCELLANEOUS PROVISIONS
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH66PARE,Chapter 66 - PARKS AND RECREATION
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH70PESO,Chapter 70 - PEDDLERS AND SOLICITORS
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH74PL,Chapter 74 - PLANNING
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH78SEDE,Chapter 78 - SECONDHAND DEALERS
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH82SOWA,Chapter 82 - SOLID WASTE
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH86STSIOTPUPL,"Chapter 86 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH90TA,Chapter 90 - TAXATION
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH94TRVE,Chapter 94 - TRAFFIC AND VEHICLES
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=PTIICOOR_CH98UT,Chapter 98 - UTILITIES
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1988CO,CODE COMPARATIVE TABLE - 1988 CODE
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,CODE COMPARATIVE TABLE - ORDINANCES
Monroe,https://library.municode.com/ga/monroe/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
