county,url,link_text
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=14195,Code of Ordinances
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=THCOMOCOGE,"THE CODE OF  MORGAN COUNTY, GEORGIA"
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTISPACLOLA,PART I - SPECIAL ACTS AND LOCAL LAWS
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=SPACLOLACOTAGELA,SPECIAL ACTS AND LOCAL LAWS COMPARATIVE TABLE GEORGIA LAWS
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH6ALBE,Chapter 6 - ALCOHOLIC BEVERAGES
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH10AN,Chapter 10 - ANIMALS
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH14BUBURE,Chapter 14 - BUILDINGS AND BUILDING REGULATIONS
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH18BULIRE,Chapter 18 - BUSINESS AND LICENSING REGULATIONS
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH22EMMASE,Chapter 22 - EMERGENCY MANAGEMENT AND SERVICES
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH26FIPRPR,Chapter 26 - FIRE PREVENTION AND PROTECTION
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH30FOSE,Chapter 30 - FOOD SERVICE
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH32HERE,Chapter 32 - HEALTH REGULATIONS
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH34HURESE,Chapter 34 - HUMAN RESOURCES AND SERVICES
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH38LAEN,Chapter 38 - LAW ENFORCEMENT
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH42NARE,Chapter 42 - NATURAL RESOURCES
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH46NU,Chapter 46 - NUISANCES
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH50OFMIPR,Chapter 50 - OFFENSES AND MISCELLANEOUS PROVISIONS
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH58SOWA,Chapter 58 - SOLID WASTE
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH62STSIOTPUPR,"Chapter 62 - STREETS, SIDEWALKS, AND OTHER PUBLIC PROPERTY"
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH66TAREFI,"Chapter 66 - TAXATION, REVENUES, AND FINANCE"
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH70TRCO,Chapter 70 - TRAFFIC CONTROL
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH71UT,Chapter 71 - UTILITIES
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=PTIICOOR_CH74WASE,Chapter 74 - WATER AND SEWERS
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=COCOTA2000CO,CODE COMPARATIVE TABLE 2000 CODE
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=COCOTAORES,CODE COMPARATIVE TABLE ORDINANCES—RESOLUTIONS
Morgan County,https://library.municode.com/ga/morgan_county/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
