county,url,link_text
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=15830,Code of Ordinances
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=THCONIGE,"THE CODE OF THE CITY OF NICHOLSON, GEORGIA"
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=CHTR_COMPARATIVE_TABLEGELA,CHARTER COMPARATIVE TABLE - GEORGIA LAWS
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=PTIICOOR_CH4ANCO,Chapter 4 - ANIMAL CONTROL
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=PTIICOOR_CH6BOCO,Chapter 6 - BOARDS AND COMMISSIONS
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=PTIICOOR_CH8BUCOREAC,"Chapter 8 - BUILDINGS, CONSTRUCTION AND RELATED ACTIVITIES"
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=PTIICOOR_CH10CICO,Chapter 10 - CITY COUNCIL
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=PTIICOOR_CH12CO,Chapter 12 - COURTS
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=PTIICOOR_CH14ENCO,Chapter 14 - ENVIRONMENT AND CONSERVATION
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=PTIICOOR_CH16FI,Chapter 16 - FINANCE
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=PTIICOOR_CH18FLDAPR,Chapter 18 - FLOOD DAMAGE PREVENTION
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=PTIICOOR_CH20NUMIOF,Chapter 20 - NUISANCES AND MISCELLANEOUS OFFENSES
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=PTIICOOR_CH22OCTALIRE,"Chapter 22 - OCCUPATIONAL TAXES, LICENSES AND REGULATIONS"
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=PTIICOOR_CH24PUBUGR,Chapter 24 - PUBLIC BUILDINGS AND GROUNDS
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=PTIICOOR_CH26SIADDE,Chapter 26 - SIGNS AND ADVERTISING DEVICES
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=PTIICOOR_CH28SOERSEPOCO,"Chapter 28 - SOIL EROSION, SEDIMENTATION AND POLLUTION CONTROL"
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=PTIICOOR_CH30STTR,Chapter 30 - STREETS AND TRAFFIC
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=PTIICOOR_CH32SULADE,Chapter 32 - SUBDIVISION AND LAND DEVELOPMENT
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=PTIICOOR_CH34ZO,Chapter 34 - ZONING
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE2018CO,CODE COMPARATIVE TABLE - 2018 CODE
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLELE,CODE COMPARATIVE TABLE - LEGISLATION
Nicholson,https://library.municode.com/ga/nicholson/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
