county,url,link_text
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=19995,Code of Ordinances
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=THCOOCGE,"THE CODE OF THE CITY OF OCILLA, GEORGIA"
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTICHRELA,PART I - CHARTER AND RELATED LAWS
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=RELATED_LAWS_COMPARATIVE_TABLEGELA,RELATED LAWS COMPARATIVE TABLE - GEORGIA LAWS
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH4ALBE,Chapter 4 - ALCOHOLIC BEVERAGES
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH6AN,Chapter 6 - ANIMALS
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH8BUBURE,Chapter 8 - BUILDINGS AND BUILDING REGULATIONS
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH10CE,Chapter 10 - CEMETERIES
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH12CODE,Chapter 12 - COMMUNITY DEVELOPMENT
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH14EL,Chapter 14 - ELECTIONS
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH16EMMAEMSE,Chapter 16 - EMERGENCY MANAGEMENT AND EMERGENCY SERVICES
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH18ENNARE,Chapter 18 - ENVIRONMENT AND NATURAL RESOURCES
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH20FIPRPR,Chapter 20 - FIRE PREVENTION AND PROTECTION
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH22FL,Chapter 22 - FLOODS
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH24HIPR,Chapter 24 - HISTORIC PRESERVATION
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH26HURI,Chapter 26 - HUMAN RIGHTS
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH28LAEN,Chapter 28 - LAW ENFORCEMENT
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH30LITAMIBURE,"Chapter 30 - LICENSES, TAXATION AND MISCELLANEOUS BUSINESS REGULATIONS"
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH32MUCO,Chapter 32 - MUNICIPAL COURT
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH34NU,Chapter 34 - NUISANCES
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH36OFMIPR,Chapter 36 - OFFENSES AND MISCELLANEOUS PROVISIONS
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH38PARE,Chapter 38 - PARKS AND RECREATION
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH40PE,Chapter 40 - PERSONNEL
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH42SI,Chapter 42 - SIGNS
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH44SOWA,Chapter 44 - SOLID WASTE
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH46STSIOTPUPL,"Chapter 46 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH48TE,Chapter 48 - TELECOMMUNICATIONS
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH50TRVE,Chapter 50 - TRAFFIC AND VEHICLES
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH52UT,Chapter 52 - UTILITIES
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=PTIICOOR_CH54ZO,Chapter 54 - ZONING
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE2003CO,CODE COMPARATIVE TABLE - 2003 CODE
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLELE,CODE COMPARATIVE TABLE - LEGISLATION
Ocilla,https://library.municode.com/ga/ocilla/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
