county,url,link_text
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=15620,Code of Ordinances
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=COORSOFUGE,"CODE OF ORDINANCES CITY OF SOUTH FULTON, GEORGIA"
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT1CH,PART 1 - CHARTER
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_TIT1AD,Title 1 - ADMINISTRATION
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_TIT2TA,Title 2 - TAXATION
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_TIT3BURE,Title 3 - BUILDING REGULATIONS
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_TIT4LAEN,Title 4 - LAW ENFORCEMENT
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_TIT5ZOPL,Title 5 - ZONING AND PLANNING
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_TIT6HESA,TITLE 6 - HEALTH AND SANITATION
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_TIT7MUCO,Title 7 - MUNICIPAL COURTS
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_TIT8TRVE,Title 8 - TRAFFIC AND VEHICLES
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_TIT10PR,Title 10 - PROCUREMENT
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_TIT11PARE,Title 11 - PARKS AND RECREATION
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_TIT12LIPEBURE,"Title 12 - LICENSES, PERMITS AND BUSINESS REGULATIONS"
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_TIT13FIPRPR,Title 13 - FIRE PROTECTION AND PREVENTION
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_TIT14EN,TITLE 14. - ENVIRONMENT
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_TIT15CROF,TITLE 15 - CRIMINAL OFFENSES
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_TIT16ALBE,TITLE 16 - ALCOHOLIC BEVERAGES
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_TIT17STSIRI-WOTPUPL,"TITLE 17. - STREETS, SIDEWALKS, RIGHTS-OF-WAY AND OTHER PUBLIC PLACES"
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_TIT18ANCO,TITLE 18. - ANIMAL CONTROL
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_APXASCFIMUCOSOFU,Appendix A - SCHEDULE OF FINES FOR THE MUNICIPAL COURT OF THE CITY OF SOUTH FULTON
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_APXBFR,Appendix B - FRANCHISES
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_APXCZO,Appendix C - ZONING
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_APXDSURE,APPENDIX D. - SUBDIVISION REGULATIONS
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_APXEADGUTRPR,Appendix E - ADMINISTRATIVE GUIDELINES FOR TREE PRESERVATION
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_APXGCOBOGE,"APPENDIX G. - COMMITTEES AND BOARDS, GENERALLY"
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=PT2COOR_APXHTRCAPO,Appendix H - TRAFFIC CALMING POLICY
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLELE,CODE COMPARATIVE TABLE - LEGISLATION
South Fulton,https://library.municode.com/ga/south_fulton/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
