county,url,link_text
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=12069,Code of Ordinances
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=COORWAGE,"CODE OF ORDINANCES CITY OF WASHINGTON, GEORGIA"
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTITHCH,THE CHARTER
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH6ALBE,Chapter 6 - ALCOHOLIC BEVERAGES
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH10AN,Chapter 10 - ANIMALS
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH14BUBURE,Chapter 14 - BUILDINGS AND BUILDING REGULATIONS
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH18BU,Chapter 18 - BUSINESSES
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH19CASEFR,Chapter 19 - CABLE SERVICES FRANCHISING
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH20CE,Chapter 20 - CEMETERIES
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH22CIEM,Chapter 22 - CIVIL EMERGENCIES
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH26EN,Chapter 26 - ENVIRONMENT
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH30FIPRPR,Chapter 30 - FIRE PREVENTION AND PROTECTION
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH34FL,Chapter 34 - FLOODS
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH38HESA,Chapter 38 - HEALTH AND SANITATION
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH42HIPR,Chapter 42 - HISTORICAL PRESERVATION
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH46OFMIPR,Chapter 46 - OFFENSES AND MISCELLANEOUS PROVISIONS
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH50PARE,Chapter 50 - PARKS AND RECREATION
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH54PL,Chapter 54 - PLANNING
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH58SI,Chapter 58 - SIGNS
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH62SOWA,Chapter 62 - SOLID WASTE
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH66STSIOTPUPL,"Chapter 66 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH70SULADE,Chapter 70 - SUBDIVISIONS AND LAND DEVELOPMENT
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH74TA,Chapter 74 - TAXATION
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH75TESEFRLI,Chapter 75 - TELECOMMUNICATIONS SERVICES FRANCHISES AND LICENSES
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH78TRVE,Chapter 78 - TRAFFIC AND VEHICLES
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH82UT,Chapter 82 - UTILITIES
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH86VE,Chapter 86 - VEGETATION
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=PTIICOOR_CH90ZO,Chapter 90 - ZONING
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE_1989_CODE,CODE COMPARATIVE TABLE 1989 CODE
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEORRE,"CODE COMPARATIVE TABLE - ORDINANCES AND RESOLUTIONS




 (This content was modified in this version of the code.)
modified"
Washington,https://library.municode.com/ga/washington/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
