county,url,link_text
Wilkinson County,https://library.municode.com/ga/wilkinson_county/codes/code_of_ordinances?nodeId=17285,Code of Ordinances
Wilkinson County,https://library.municode.com/ga/wilkinson_county/codes/code_of_ordinances?nodeId=COORWICOGE,"CODE OF ORDINANCES OF WILKINSON COUNTY, GEORGIA"
Wilkinson County,https://library.municode.com/ga/wilkinson_county/codes/code_of_ordinances?nodeId=CH1GEPR,CHAPTER 1: - GENERAL PROVISIONS
Wilkinson County,https://library.municode.com/ga/wilkinson_county/codes/code_of_ordinances?nodeId=CH2AD,CHAPTER 2: - ADMINISTRATION
Wilkinson County,https://library.municode.com/ga/wilkinson_county/codes/code_of_ordinances?nodeId=CH3ALBE,CHAPTER 3: - ALCOHOLIC BEVERAGES
Wilkinson County,https://library.municode.com/ga/wilkinson_county/codes/code_of_ordinances?nodeId=CH4BU,CHAPTER 4: - BUILDINGS
Wilkinson County,https://library.municode.com/ga/wilkinson_county/codes/code_of_ordinances?nodeId=CH5CO,CHAPTER 5: - COURTS
Wilkinson County,https://library.municode.com/ga/wilkinson_county/codes/code_of_ordinances?nodeId=CH6HE,CHAPTER 6: - HEALTH
Wilkinson County,https://library.municode.com/ga/wilkinson_county/codes/code_of_ordinances?nodeId=CH7ENHE,CHAPTER 7: - ENVIRONMENTAL HEALTH
Wilkinson County,https://library.municode.com/ga/wilkinson_county/codes/code_of_ordinances?nodeId=CH8BUOC,CHAPTER 8: - BUSINESS AND OCCUPATIONS
Wilkinson County,https://library.municode.com/ga/wilkinson_county/codes/code_of_ordinances?nodeId=CH9MOVETR,CHAPTER 9: - MOTOR VEHICLES AND TRAFFIC
Wilkinson County,https://library.municode.com/ga/wilkinson_county/codes/code_of_ordinances?nodeId=CH10OFMIPR,CHAPTER 10: - OFFENSES AND MISCELLANEOUS PROVISIONS
Wilkinson County,https://library.municode.com/ga/wilkinson_county/codes/code_of_ordinances?nodeId=CH11PLDE,CHAPTER 11: - PLANNING AND DEVELOPMENT
Wilkinson County,https://library.municode.com/ga/wilkinson_county/codes/code_of_ordinances?nodeId=CH12ROHI,CHAPTER 12: - ROADS AND HIGHWAYS
Wilkinson County,https://library.municode.com/ga/wilkinson_county/codes/code_of_ordinances?nodeId=CH13SI,CHAPTER 13: - SIGNS
Wilkinson County,https://library.municode.com/ga/wilkinson_county/codes/code_of_ordinances?nodeId=CH14TA,CHAPTER 14: - TAXATION
Wilkinson County,https://library.municode.com/ga/wilkinson_county/codes/code_of_ordinances?nodeId=CH15UT,CHAPTER 15: - UTILITIES
Wilkinson County,https://library.municode.com/ga/wilkinson_county/codes/code_of_ordinances?nodeId=COCOTA,CODE COMPARATIVE TABLE
