county,url,link_text
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=13678,Code of Ordinances
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=THCOYOHAGE,"THE CODE OF THE CITY OF YOUNG HARRIS, GEORGIA"
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=CHCOTA,CHARTER COMPARATIVE TABLE
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=PTIICOOR_CH4ALBE,Chapter 4 - ALCOHOLIC BEVERAGES
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=PTIICOOR_CH6BUBURE,Chapter 6 - BUILDINGS AND BUILDING REGULATIONS
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=PTIICOOR_CH8ENNARE,Chapter 8 - ENVIRONMENT AND NATURAL RESOURCES
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=PTIICOOR_CH10FL,Chapter 10 - FLOODS
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=PTIICOOR_CH12LITAMIRE,"Chapter 12 - LICENSES, TAXATION AND MISCELLANEOUS REGULATIONS"
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=PTIICOOR_CH14OFMIPR,Chapter 14 - OFFENSES AND MISCELLANEOUS PROVISIONS
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=PTIICOOR_CH16PLDE,Chapter 16 - PLANNING AND DEVELOPMENT
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=PTIICOOR_CH18SI,Chapter 18 - SIGNS
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=PTIICOOR_CH20SOWA,Chapter 20 - SOLID WASTE
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=PTIICOOR_CH22SU,Chapter 22 - SUBDIVISIONS
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=PTIICOOR_CH24TRVE,Chapter 24 - TRAFFIC AND VEHICLES
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=PTIICOOR_CH26UT,Chapter 26 - UTILITIES
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=PTIICOOR_APXAZO,Appendix A - ZONING
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=Master%20Fee%20Schedule,Master Fee Schedule
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE2005CO,CODE COMPARATIVE TABLE - 2005 CODE
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE_ORD,CODE COMPARATIVE TABLE ORDINANCES
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLELE,CODE COMPARATIVE TABLE - LEGISLATION
Young Harris,https://library.municode.com/ga/young_harris/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
