county,url,link_text
Center Point,https://library.municode.com/ia/center_point/codes/code_of_ordinances?nodeId=17038,Code of Ordinances
Center Point,https://library.municode.com/ia/center_point/codes/code_of_ordinances?nodeId=COCEPOIO,"CODE OF THE CITY OF CENTER POINT, IOWA"
Center Point,https://library.municode.com/ia/center_point/codes/code_of_ordinances?nodeId=COOR_TIT1GEPR,Title 1 - GENERAL PROVISIONS
Center Point,https://library.municode.com/ia/center_point/codes/code_of_ordinances?nodeId=COOR_TIT2ADBOCO,"Title 2 - ADMINISTRATION, BOARDS AND COMMISSIONS"
Center Point,https://library.municode.com/ia/center_point/codes/code_of_ordinances?nodeId=COOR_TIT3POFIEM,"Title 3 - POLICE, FIRE AND EMERGENCIES"
Center Point,https://library.municode.com/ia/center_point/codes/code_of_ordinances?nodeId=COOR_TIT4PUOF,Title 4 - PUBLIC OFFENSES
Center Point,https://library.municode.com/ia/center_point/codes/code_of_ordinances?nodeId=COOR_TIT5NUANCO,Title 5 - NUISANCES AND ANIMAL CONTROL
Center Point,https://library.municode.com/ia/center_point/codes/code_of_ordinances?nodeId=COOR_TIT6TRVE,Title 6 - TRAFFIC AND VEHICLES
Center Point,https://library.municode.com/ia/center_point/codes/code_of_ordinances?nodeId=COOR_TIT7WA,Title 7 - WATER
Center Point,https://library.municode.com/ia/center_point/codes/code_of_ordinances?nodeId=COOR_TIT8SASE,Title 8 - SANITARY SEWER
Center Point,https://library.municode.com/ia/center_point/codes/code_of_ordinances?nodeId=COOR_TIT9SOWA,Title 9 - SOLID WASTE
Center Point,https://library.municode.com/ia/center_point/codes/code_of_ordinances?nodeId=COOR_TIT10FROTSE,Title 10 - FRANCHISES AND OTHER SERVICES
Center Point,https://library.municode.com/ia/center_point/codes/code_of_ordinances?nodeId=COOR_TIT11BUVO,Title 11 - BUSINESS AND VOCATIONS
Center Point,https://library.municode.com/ia/center_point/codes/code_of_ordinances?nodeId=COOR_TIT12STSI,Title 12 - STREETS AND SIDEWALKS
Center Point,https://library.municode.com/ia/center_point/codes/code_of_ordinances?nodeId=COOR_TIT13BUPRRE,Title 13 - BUILDING AND PROPERTY REGULATIONS
Center Point,https://library.municode.com/ia/center_point/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE2014CO,CODE COMPARATIVE TABLE - 2014 CODE
Center Point,https://library.municode.com/ia/center_point/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLELE,CODE COMPARATIVE TABLE - LEGISLATION
Center Point,https://library.municode.com/ia/center_point/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
