county,url,link_text
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=10104,Code of Ordinances
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=CEMUCO,CENTRALIA MUNICIPAL CODE
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH2AD,Chapter 2 - ADMINISTRATION
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH3ALSY,Chapter 3 - ALARM SYSTEMS
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH4ALLI,Chapter 4 - ALCOHOLIC LIQUOR
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH5ANFO,Chapter 5 - ANIMALS AND FOWL
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH6BUBURE,Chapter 6 - BUILDINGS AND BUILDING REGULATIONS
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH7CE,Chapter 7 - CEMETERIES
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH8CIEMEMSEDIRE,"Chapter 8 - CIVIL EMERGENCIES, EMERGENCY SERVICES AND DISASTER RELIEF"
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH9FIPRPR,Chapter 9 - FIRE PREVENTION AND PROTECTION
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH10HURI,Chapter 10 - HUMAN RIGHTS
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH11LIPEMIBURE,"Chapter 11 - LICENSES, PERMITS AND MISCELLANEOUS BUSINESS REGULATIONS"
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH12MIPROF,Chapter 12 - MISCELLANEOUS PROVISIONS AND OFFENSES
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH13MOVETR,Chapter 13 - MOTOR VEHICLES AND TRAFFIC
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH14NU,Chapter 14 - NUISANCES
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH15OIGA,Chapter 15 - OIL AND GAS
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH16PARE,Chapter 16 - PARKS AND RECREATION
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH17PLDE,Chapter 17 - PLANNING AND DEVELOPMENT
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH18PO,Chapter 18 - POLICE
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH19AI,Chapter 19 - AIRPORT
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH20RE,Chapter 20 - RESERVOIRS
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH21SOWA,Chapter 21 - SOLID WASTES
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH22STSI,Chapter 22 - STREETS AND SIDEWALKS
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH23TA,Chapter 23 - TAXATION
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH24TRSH,Chapter 24 - TREES AND SHRUBS
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=MUCO_CH25WASESEDI,"Chapter 25 - WATER, SEWERS AND SEWAGE DISPOSAL"
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1963CO,CODE COMPARATIVE TABLE - 1963 CODE
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,CODE COMPARATIVE TABLE - ORDINANCES
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=STRETA,STATUTORY REFERENCE TABLE
Centralia,https://library.municode.com/il/centralia/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
