county,url,link_text
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=13603,Code of Ordinances
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=MUCOOTIL,"MUNICIPAL CODE CITY OF OTTAWA, ILLINOIS"
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH2AD,Chapter 2 - ADMINISTRATION
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH3ADADSY,Chapter 3 - ADMINISTRATIVE ADJUDICATION SYSTEM
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH6AD,Chapter 6 - ADVERTISING
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH10ALBE,Chapter 10 - ALCOHOLIC BEVERAGES
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH14AMEN,Chapter 14 - AMUSEMENTS AND ENTERTAINMENTS
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH18AN,Chapter 18 - ANIMALS
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH22BUBURE,Chapter 22 - BUILDINGS AND BUILDING REGULATIONS
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH26BU,Chapter 26 - BUSINESSES
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH28CARE,Chapter 28 - CANNABIS REGULATIONS
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH30CIEM,Chapter 30 - CIVIL EMERGENCIES
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH34FIPRPR,Chapter 34 - FIRE PREVENTION AND PROTECTION
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH38HESA,Chapter 38 - HEALTH AND SANITATION
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH42HIPR,Chapter 42 - HISTORIC PRESERVATION
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH46HURE,Chapter 46 - HUMAN RELATIONS
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH50LAEN,Chapter 50 - LAW ENFORCEMENT
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH54LI,Chapter 54 - LIBRARY
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH58MAHOTR,Chapter 58 - MANUFACTURED HOMES AND TRAILERS
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH62OFMIPR,Chapter 62 - OFFENSES AND MISCELLANEOUS PROVISIONS
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH66PARE,Chapter 66 - PARKS AND RECREATION
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH70PESO,Chapter 70 - PEDDLERS AND SOLICITORS
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH74PL,Chapter 74 - PLANNING
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH78SEGO,Chapter 78 - SECONDHAND GOODS
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH82SOWA,Chapter 82 - SOLID WASTE
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH84STMAOR,Chapter 84 - STORMWATER MANAGEMENT ORDINANCE
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH86STSIOTPUPL,"Chapter 86 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH90SU,Chapter 90 - SUBDIVISIONS
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH94TA,Chapter 94 - TAXATION
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH98TE,Chapter 98 - TELECOMMUNICATIONS
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH102TRVE,Chapter 102 - TRAFFIC AND VEHICLES
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH106UT,Chapter 106 - UTILITIES
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH110VE,Chapter 110 - VEGETATION
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH114VEHI,Chapter 114 - VEHICLES FOR HIRE
Ottawa,https://library.municode.com/il/ottawa/codes/code_of_ordinances?nodeId=CH118ZO,Chapter 118 - ZONING
