county,url,link_text
Rockford,https://library.municode.com/il/rockford/codes/code_of_ordinances?nodeId=14387,Code of Ordinances
Rockford,https://library.municode.com/il/rockford/codes/code_of_ordinances?nodeId=COORROIL,"CODE OF ORDINANCES OF THE CITY OF ROCKFORD, ILLINOIS"
Rockford,https://library.municode.com/il/rockford/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Rockford,https://library.municode.com/il/rockford/codes/code_of_ordinances?nodeId=PTIGEOR,PART I - GENERAL ORDINANCES
Rockford,https://library.municode.com/il/rockford/codes/code_of_ordinances?nodeId=PTIILADERE,PART II - LAND DEVELOPMENT REGULATIONS
Rockford,https://library.municode.com/il/rockford/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1936REOR,CODE COMPARATIVE TABLE - 1936 REVISED ORDINANCES
Rockford,https://library.municode.com/il/rockford/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1955CO,CODE COMPARATIVE TABLE - 1955 CODE
Rockford,https://library.municode.com/il/rockford/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1970CO,CODE COMPARATIVE TABLE - 1970 CODE
Rockford,https://library.municode.com/il/rockford/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,"CODE COMPARATIVE TABLE - ORDINANCES




 (This content was modified in this version of the code.)
modified"
Rockford,https://library.municode.com/il/rockford/codes/code_of_ordinances?nodeId=STLARETA,"STATE LAW REFERENCE TABLE




 (This content was modified in this version of the code.)
modified"
