county,url,link_text
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=16690,Code of Ordinances
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=WHMUCO,"WHEELING MUNICIPAL CODE




 (This content was modified in this version of the code.)
modified"
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=TIT1GEPR,Title 1 - GENERAL PROVISIONS*
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=TIT2OFADPE,"Title 2 - OFFICERS, ADMINISTRATION AND PERSONNEL*"
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=TIT4TABURELI,"Title 4 - TAXES, BUSINESS REGULATIONS AND LICENSES*"
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=TIT5HESA,Title 5 - HEALTH AND SANITATION*
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=TIT6HURI,Title 6 - HUMAN RIGHTS
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=TIT7AN,Title 7 - ANIMALS
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=TIT8PUPESA,Title 8 - PUBLIC PEACE AND SAFETY*
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=TIT9VETR,Title 9 - VEHICLES AND TRAFFIC*
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=TIT11RI-WSTSI,"Title 11 - RIGHTS-OF-WAY, STREETS AND SIDEWALKS*"
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=TIT12TRVE,Title 12 - TREES AND VEGETATION
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=TIT13WASE,Title 13 - WATER AND SEWERS
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=TIT14FI,Title 14 - FIRE*
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=TIT15BUCO,Title 15 - BUILDINGS AND CONSTRUCTION*
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=TIT16PLCO,Title 16 - PLUMBING CODE
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=TIT17PLSUDE,"Title 17 - PLANNING, SUBDIVISIONS AND DEVELOPMENTS*"
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=TIT19ZO,Title 19 - ZONING*
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=TIT19AAIZO,Title 19A - AIRPORT ZONING*
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=TIT20ENPR,Title 20 - ENVIRONMENTAL PROTECTION
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=TIT21SI,Title 21 - SIGNS
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=TIT22FLRE,Title 22 - FLOODPLAIN REGULATIONS
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=STREILCIVI,STATUTORY REFERENCES FOR ILLINOIS CITIES AND VILLAGES
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=ORLIDITA,ORDINANCE LIST AND DISPOSITION TABLE
Wheeling,https://library.municode.com/il/wheeling/codes/code_of_ordinances?nodeId=COCOTADILI,"CODE COMPARATIVE TABLE AND DISPOSITION LIST




 (This content was modified in this version of the code.)
modified"
