county,url,link_text
Yorkville,https://library.municode.com/il/yorkville/codes/code_of_ordinances?nodeId=15870,Code of Ordinances
Yorkville,https://library.municode.com/il/yorkville/codes/code_of_ordinances?nodeId=COORYOIL,"CODE OF ORDINANCES CITY OF YORKVILLE, ILLINOIS"
Yorkville,https://library.municode.com/il/yorkville/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Yorkville,https://library.municode.com/il/yorkville/codes/code_of_ordinances?nodeId=TIT1AD,TITLE 1 - ADMINISTRATION
Yorkville,https://library.municode.com/il/yorkville/codes/code_of_ordinances?nodeId=TIT2BOCO,TITLE 2 - BOARDS AND COMMISSIONS
Yorkville,https://library.municode.com/il/yorkville/codes/code_of_ordinances?nodeId=TIT3BULIRE,TITLE 3 - BUSINESS AND LICENSE REGULATIONS
Yorkville,https://library.municode.com/il/yorkville/codes/code_of_ordinances?nodeId=TIT4PUHESA,TITLE 4 - PUBLIC HEALTH AND SAFETY
Yorkville,https://library.municode.com/il/yorkville/codes/code_of_ordinances?nodeId=TIT5PORE,TITLE 5 - POLICE REGULATIONS
Yorkville,https://library.municode.com/il/yorkville/codes/code_of_ordinances?nodeId=TIT6MOVETR,TITLE 6 - MOTOR VEHICLES AND TRAFFIC
Yorkville,https://library.municode.com/il/yorkville/codes/code_of_ordinances?nodeId=TIT7PUWAPR,TITLE 7 - PUBLIC WAYS AND PROPERTY
Yorkville,https://library.municode.com/il/yorkville/codes/code_of_ordinances?nodeId=TIT8BURE,TITLE 8 - BUILDING REGULATIONS
Yorkville,https://library.municode.com/il/yorkville/codes/code_of_ordinances?nodeId=TIT9COPL,TITLE 9 - COMPREHENSIVE PLAN
Yorkville,https://library.municode.com/il/yorkville/codes/code_of_ordinances?nodeId=TIT10ZORE,TITLE 10 - ZONING (RESERVED)
Yorkville,https://library.municode.com/il/yorkville/codes/code_of_ordinances?nodeId=TIT11RE,TITLE 11 - RESERVED
Yorkville,https://library.municode.com/il/yorkville/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,"CODE COMPARATIVE TABLE - ORDINANCES




 (This content was modified in this version of the code.)
modified"
Yorkville,https://library.municode.com/il/yorkville/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
