county,url,link_text
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=16704,Code of Ordinances
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=BLOOMINGTONMUCO,BLOOMINGTON - MUNICIPAL CODE
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=TIT1GEPR,Title 1 - GENERAL PROVISIONS
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=TIT2ADPE,Title 2 - ADMINISTRATION AND PERSONNEL
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=TIT3CACOSY,Title 3 - CABLE COMMUNICATIONS SYSTEMS
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=TIT4BULIRE,Title 4 - BUSINESS LICENSES AND REGULATIONS
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=TIT6HESA,Title 6 - HEALTH AND SANITATION
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=TIT7AN,Title 7 - ANIMALS
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=TIT8HIPRPR,Title 8 - HISTORIC PRESERVATION AND PROTECTION
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=TIT9WA,Title 9 - WATER
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=TIT10WA,Title 10 - WASTEWATER
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=TIT11LARE,Title 11 - LAKES AND RESERVOIRS
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=TIT12STSISTSE,"Title 12 - STREETS, SIDEWALKS AND STORM SEWERS"
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=TIT13ST,Title 13 - STORMWATER
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=TIT14PESA,Title 14 - PEACE AND SAFETY
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=TIT15VETR,Title 15 - VEHICLES AND TRAFFIC
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=TIT16REREUNLOESINPR,Title 16 - RESIDENTIAL RENTAL UNIT AND LODGING ESTABLISHMENT INSPECTION PROGRAM
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=TIT17CORE,Title 17 - CONSTRUCTION REGULATIONS
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=TIT18FIPR,Title 18 - FIRE PREVENTION
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=TIT19SU,Title 19 - SUBDIVISIONS*
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=TIT20UNDEOR,Title 20 - UNIFIED DEVELOPMENT ORDINANCE
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=STRE,STATUTORY REFERENCES
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=PRCOCRFETA,PRIOR CODE CROSS-REFERENCE TABLE
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=DIORTA,DISPOSITION OF ORDINANCES TABLE
Bloomington,https://library.municode.com/in/bloomington/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEANDILI,CODE COMPARATIVE TABLE - AND DISPOSITION LIST
