county,url,link_text
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=14045,Code of Ordinances
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COORKNIN,"CODE OF ORDINANCES CITY OF KNOX, INDIANA"
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CH3AN,Chapter 3 - ANIMALS
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CH4BU,Chapter 4 - BUILDINGS
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CH5CODE,Chapter 5 - COMMUNITY DEVELOPMENT
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CH6CO,Chapter 6 - COURTS
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CH7FIPRPR,Chapter 7 - FIRE PREVENTION AND PROTECTION
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CH7.5FL,Chapter 7.5 - FLOODS
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CH8LIBURE,Chapter 8 - LICENSES AND BUSINESS REGULATIONS
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CH9MOVETR,Chapter 9 - MOTOR VEHICLES AND TRAFFIC
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CH10NU,Chapter 10 - NUISANCES
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CH11OFMIPR,Chapter 11 - OFFENSES AND MISCELLANEOUS PROVISIONS
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CH12PARE,Chapter 12 - PARKS AND RECREATION
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CH13PL,Chapter 13 - PLANNING
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CH14PO,Chapter 14 - POLICE
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CH15SE,Chapter 15 - SEWERS
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CH16SOWA,Chapter 16 - SOLID WASTE
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CH17STSI,Chapter 17 - STREETS AND SIDEWALKS
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CH18TA,Chapter 18 - TAXATION
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CH19WA,Chapter 19 - WATER
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CH20STDRSECO,Chapter 20 - STORMWATER DRAINAGE AND SEDIMENT CONTROL
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_APXAZO,APPENDIX A - ZONING
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_APXBSURE,APPENDIX B - SUBDIVISION REGULATIONS
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_CD_COMPARATIVE_TABLEOR,"CODE COMPARATIVE TABLE - ORDINANCES




 (This content was modified in this version of the code.)
modified"
Knox,https://library.municode.com/in/knox/codes/code_of_ordinances?nodeId=COOR_STLARETA,"STATE LAW REFERENCE TABLE




 (This content was modified in this version of the code.)
modified"
