county,url,link_text
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=12707,Code of Ordinances
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCOPOIN,"MUNICIPAL CODE OF THE CITY OF PORTAGE, INDIANA"
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH2AD,Chapter 2 - ADMINISTRATION
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH3HURI,Chapter 3 - HUMAN RIGHTS
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH6AMEN,Chapter 6 - AMUSEMENTS AND ENTERTAINMENTS
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH10AN,Chapter 10 - ANIMALS
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH14BUBURE,Chapter 14 - BUILDINGS AND BUILDING REGULATIONS
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH18BU,Chapter 18 - BUSINESSES
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH22CACO,Chapter 22 - CABLE COMMUNICATIONS
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH26CIEM,Chapter 26 - CIVIL EMERGENCIES
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH30CODE,Chapter 30 - COMMUNITY DEVELOPMENT
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH34EL,Chapter 34 - ELECTIONS
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH38EMSE,Chapter 38 - EMERGENCY SERVICES
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH42EN,Chapter 42 - ENVIRONMENT
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH46FIPRPR,Chapter 46 - FIRE PREVENTION AND PROTECTION
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH50LAEN,Chapter 50 - LAW ENFORCEMENT
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH54OFMIPR,Chapter 54 - OFFENSES AND MISCELLANEOUS PROVISIONS
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH58PARE,Chapter 58 - PARKS AND RECREATION
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH62PE,Chapter 62 - PERSONNEL
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH66PLDE,Chapter 66 - PLANNING AND DEVELOPMENT
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH70SOWA,Chapter 70 - SOLID WASTE
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH74STSIOTPUPL,"Chapter 74 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH78TRVE,Chapter 78 - TRAFFIC AND VEHICLES
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH82UT,Chapter 82 - UTILITIES
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH86WA,Chapter 86 - WATERWAYS
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=MUCO_CH90ZO,Chapter 90 - ZONING
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE_1985_CODE,CODE COMPARATIVE TABLE 1985 CODE
Portage,https://library.municode.com/in/portage/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE_ORD,"CODE COMPARATIVE TABLE ORDINANCES




 (This content was modified in this version of the code.)
modified"
