county,url,link_text
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=13646,Code of Ordinances
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=MCCO,McPHERSON CITY CODE
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH6ALBE,Chapter 6 - ALCOHOLIC BEVERAGES
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH10AN,Chapter 10 - ANIMALS
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH14AV,Chapter 14 - AVIATION
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH18BUBURE,Chapter 18 - BUILDINGS AND BUILDING REGULATIONS
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH22CE,Chapter 22 - CEMETERIES
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH26EL,Chapter 26 - ELECTIONS
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH30EMMA,Chapter 30 - EMERGENCY MANAGEMENT
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH34FIPRPR,Chapter 34 - FIRE PREVENTION AND PROTECTION
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH38LIPEMIBURE,"Chapter 38 - LICENSES, PERMITS AND MISCELLANEOUS BUSINESS REGULATIONS"
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH42MAHOTR,Chapter 42 - MANUFACTURED HOMES AND TRAILERS
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH46MUCO,Chapter 46 - MUNICIPAL COURT
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH50NU,Chapter 50 - NUISANCES
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH54OFMIPR,Chapter 54 - OFFENSES AND MISCELLANEOUS PROVISIONS
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH58PARE,Chapter 58 - PARKS AND RECREATION
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH62RA,Chapter 62 - RAILROADS
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH66SOWA,Chapter 66 - SOLID WASTE
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH70STSIOTPUPL,"Chapter 70 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH74SU,Chapter 74 - SUBDIVISIONS
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH78TA,Chapter 78 - TAXATION
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH82TRVE,Chapter 82 - TRAFFIC AND VEHICLES
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH86UT,Chapter 86 - UTILITIES
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH90VE,Chapter 90 - VEGETATION
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_CH94ZO,Chapter 94 - ZONING
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=COOR_APXACHOR,APPENDIX A - CHARTER ORDINANCES
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1995CO,CODE COMPARATIVE TABLE - 1995 CODE
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,"CODE COMPARATIVE TABLE - ORDINANCES




 (This content was modified in this version of the code.)
modified"
McPherson,https://library.municode.com/ks/mcpherson/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
