county,url,link_text
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=13685,Code of Ordinances
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=PICO,PITTSBURG CITY CODE
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH2AD,Chapter 2 - ADMINISTRATION
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH6ALBE,Chapter 6 - ALCOHOLIC BEVERAGES
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH10AN,Chapter 10 - ANIMALS
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH14AV,Chapter 14 - AVIATION
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH18BUBURE,Chapter 18 - BUILDINGS AND BUILDING REGULATIONS
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH22CE,Chapter 22 - CEMETERIES
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH26CODE,Chapter 26 - COMMUNITY DEVELOPMENT
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH30CO,Chapter 30 - COURTS
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH34FIPRPR,Chapter 34 - FIRE PREVENTION AND PROTECTION
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH38LI,Chapter 38 - LIBRARY
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH42LIPEMIBURE,"Chapter 42 - LICENSES, PERMITS AND MISCELLANEOUS BUSINESS REGULATIONS"
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH46MAHOTR,Chapter 46 - MANUFACTURED HOMES AND TRAILERS
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH50NU,Chapter 50 - NUISANCES
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH54OFMIPR,Chapter 54 - OFFENSES AND MISCELLANEOUS PROVISIONS
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH58PARE,Chapter 58 - PARKS AND RECREATION
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH62PL,Chapter 62 - PLANNING
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH66RA,Chapter 66 - RAILROADS
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH70SOWA,Chapter 70 - SOLID WASTE
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH74STSIOTPUPL,"Chapter 74 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH78TRVE,Chapter 78 - TRAFFIC AND VEHICLES
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CICO_CH82UT,Chapter 82 - UTILITIES
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=APXACHOR,APPENDIX A - CHARTER ORDINANCES
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE_1975_CODE,CODE COMPARATIVE TABLE 1975 CODE
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,CODE COMPARATIVE TABLE - ORDINANCES
Pittsburg,https://library.municode.com/ks/pittsburg/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
