county,url,link_text
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=12006,Code of Ordinances
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=COORBALO,"CODE OF ORDINANCES OF BASTROP, LOUISIANA




 (This content was modified in this version of the code.)
modified"
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH3AI,Chapter 3 - AIRPORT
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH4ALBE,Chapter 4 - ALCOHOLIC BEVERAGES
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH5ANFO,Chapter 5 - ANIMALS AND FOWL
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH6BUCOREAC,Chapter 6 - BUILDINGS; CONSTRUCTION AND RELATED ACTIVITIES
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH7CE,Chapter 7 - CEMETERIES
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH8CRCO,Chapter 8 - CRIMINAL CODE
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH9FIPR,Chapter 9 - FIRE PREVENTION
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH10GATRWEJU,"Chapter 10 - GARBAGE, TRASH, WEEDS AND JUNK"
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH11HESA,Chapter 11 - HEALTH AND SANITATION
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH11.5HIPR,Chapter 11.5 - HISTORICAL PRESERVATION
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH12MUUT,Chapter 12 - MUNICIPAL UTILITIES
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH13OCLITARE,"Chapter 13 - OCCUPATIONAL LICENSES, TAXES AND REGULATIONS"
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH14PARE,Chapter 14 - PARKS AND RECREATION
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH15PE,Chapter 15 - PERSONNEL
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH16PLCO,Chapter 16 - PLANNING COMMISSION
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH16.5SEORBU,Chapter 16.5 - SEXUALLY ORIENTED BUSINESSES
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH17STSI,Chapter 17 - STREETS AND SIDEWALKS
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH18SU,Chapter 18 - SUBDIVISIONS
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH18.5TE,Chapter 18.5 - TELECOMMUNICATIONS
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH19TR,Chapter 19 - TRAFFIC
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=PTIICOOR_CH20VEHI,Chapter 20 - VEHICLES FOR HIRE
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1966CO,CODE COMPARATIVE TABLE - 1966 CODE
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,"CODE COMPARATIVE TABLE - ORDINANCES




 (This content was modified in this version of the code.)
modified"
Bastrop,https://library.municode.com/la/bastrop/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
