county,url,link_text
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=10550,Code of Ordinances
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COORTOCHPOLO,"CODE OF ORDINANCES OF THE TOWN OF CHURCH POINT, LOUISIANA"
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH4ALBE,Chapter 4 - ALCOHOLIC BEVERAGES
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH6AN,Chapter 6 - ANIMALS
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH8BUBURE,Chapter 8 - BUILDINGS AND BUILDING REGULATIONS
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH10EL,Chapter 10 - ELECTIONS
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH12ENNARE,Chapter 12 - ENVIRONMENT AND NATURAL RESOURCES
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH14FIPRPR,Chapter 14 - FIRE PREVENTION AND PROTECTION
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH16FL,Chapter 16 - FLOODS
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH18LAEN,Chapter 18 - LAW ENFORCEMENT
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH20LIPEMIBURE,"Chapter 20 - LICENSES, PERMITS, MISCELLANEOUS BUSINESS REGULATIONS"
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH21MOHOPA,Chapter 21 - MOBILE HOME PARKS
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH22NU,Chapter 22 - NUISANCES
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH24OFMIPR,Chapter 24 - OFFENSES AND MISCELLANEOUS PROVISIONS
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH26PARE,Chapter 26 - PARKS AND RECREATION
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH28PL,Chapter 28 - PLANNING
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH30SI,Chapter 30 - SIGNS
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH32SOWA,Chapter 32 - SOLID WASTE
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH34STSIOTPUPL,"Chapter 34 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH36SURE,Chapter 36 - SUBDIVISION REGULATIONS
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH38TA,Chapter 38 - TAXATION
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH40TRVE,Chapter 40 - TRAFFIC AND VEHICLES
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_CH42UT,Chapter 42 - UTILITIES
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=COOR_APXAZO,APPENDIX A - ZONING
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1977CO,CODE COMPARATIVE TABLE - 1977 CODE
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLELE,CODE COMPARATIVE TABLE - LEGISLATION
Church Point,https://library.municode.com/la/church_point/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
