county,url,link_text
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=14023,Code of Ordinances
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=COORLACHLO,"CODE OF ORDINANCES OF THE CITY OF LAKE CHARLES, LOUISIANA"
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTITHCH,THE CHARTER
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH2AD,Chapter 2 - ADMINISTRATION
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH3ALBE,Chapter 3 - ALCOHOLIC BEVERAGES
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH4ANFO,Chapter 4 - ANIMALS AND FOWL
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH5BISKOTNOVE,"Chapter 5 - BICYCLES, SKATEBOARDS AND OTHER NONMOTORIZED VEHICLES"
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH6BUCOOCCORE,"Chapter 6 - BUILDING, CONSTRUCTION AND OCCUPANCY CODES AND REGULATIONS"
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH6.5CEBU,Chapter 6.5 - CEMETERIES AND BURIALS
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH7CIDEEMPR,Chapter 7 - CIVIL DEFENSE AND EMERGENCY PREPAREDNESS
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH8FIPRPR,Chapter 8 - FIRE PROTECTION AND PREVENTION
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH9GATR,Chapter 9 - GARBAGE AND TRASH
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH10HESA,Chapter 10 - HEALTH AND SANITATION
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH11LI,Chapter 11 - LIBRARIES
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH12LIRE,Chapter 12 - LICENSES AND REGULATIONS
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH12.5NUAB,Chapter 12.5 - NUISANCE ABATEMENT
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH13OFMILAENPR,Chapter 13 - OFFENSES AND MISCELLANEOUS LAW ENFORCEMENT PROVISIONS
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH14OIGAOP,Chapter 14 - OIL AND GAS OPERATIONS
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH15PARE,Chapter 15 - PARKS AND RECREATION
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH16PE,Chapter 16 - PERSONNEL
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH17PL,Chapter 17 - PLANNING
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH18STSI,Chapter 18 - STREETS AND SIDEWALKS
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH19TA,Chapter 19 - TAXATION
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH20TR,Chapter 20 - TRAFFIC
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH21UT,Chapter 21 - UTILITIES
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH22VEHI,Chapter 22 - VEHICLES FOR HIRE
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH23PRST,Chapter 23 - PROPERTY STANDARDS
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=PTIITHCO_CH24ZO,Chapter 24 - ZONING
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=APXAFESCLACH,APPENDIX A - FEE SCHEDULE FOR THE CITY OF LAKE CHARLES
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=APXBELFR,APPENDIX B - ELECTRICITY FRANCHISE
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=APXCGAFR,APPENDIX C - GAS FRANCHISE
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1956CO,CODE COMPARATIVE TABLE - 1956 CODE
Lake Charles,https://library.municode.com/la/lake_charles/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,CODE COMPARATIVE TABLE - ORDINANCES
