county,url,link_text
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=14347,Code of Ordinances
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COORNEBEMA,"CODE OF ORDINANCES   CITY OF   NEW BEDFORD, MASSACHUSETTS"
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=CH,CHARTER
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH3AIAI,Chapter 3 - AIRPORTS AND AIRCRAFT
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH4AN,Chapter 4 - ANIMALS
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH5BOWA,Chapter 5 - BOATS AND WATERWAYS
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH6BUOTST,Chapter 6 - BUILDINGS AND OTHER STRUCTURES
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH7CE,Chapter 7 - CEMETERIES
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH8EMMA,Chapter 8 - EMERGENCY MANAGEMENT
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH9COZO,"Chapter 9 - COMPREHENSIVE ZONING




 (This content was modified in this version of the code.)
modified"
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH10FITAPR,Chapter 10 - FINANCE; TAXATION; PROPERTY
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH11FIPR,Chapter 11 - FIRE PREVENTION
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH12HESA,Chapter 12 - HEALTH AND SANITATION
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH13HO,Chapter 13 - HOUSING
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH14LI,Chapter 14 - LIBRARY
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH15LIPEBURE,Chapter 15 - LICENSES AND PERMITS; BUSINESS REGULATIONS
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH16MUUTSE,Chapter 16 - MUNICIPAL UTILITIES AND SERVICES
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH17OFMIPR,Chapter 17 - OFFENSES AND MISCELLANEOUS PROVISIONS
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH18PARE,Chapter 18 - PARKS AND RECREATION
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH19PE,Chapter 19 - PERSONNEL
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH20PLDE,Chapter 20 - PLANNING AND DEVELOPMENT
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH21SC,Chapter 21 - SCHOOLS
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH22STSIOTPUWAPUWO,"Chapter 22 - STREETS, SIDEWALKS AND OTHER PUBLIC WAYS; PUBLIC WORKS"
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH23TR,Chapter 23 - TRAFFIC
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH24VEHI,Chapter 24 - VEHICLES FOR HIRE
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH25VE,Chapter 25 - VETERANS
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1963CO,CODE COMPARATIVE TABLE - 1963 CODE
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=OR,"ORDINANCES




 (This content was modified in this version of the code.)
modified"
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=STRETA,STATUTORY REFERENCE TABLE
New Bedford,https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=SDREGULATIONSCINEBE,Subdivision Regulations - City of New Bedford
