county,url,link_text
Somerville,https://library.municode.com/ma/somerville/codes/code_of_ordinances?nodeId=11580,Code of Ordinances
Somerville,https://library.municode.com/ma/somerville/codes/code_of_ordinances?nodeId=COORSOMA,"CODE OF ORDINANCES CITY OF SOMERVILLE, MASSACHUSETTS"
Somerville,https://library.municode.com/ma/somerville/codes/code_of_ordinances?nodeId=PTICHRELE,PART I - CHARTER AND RELATED LEGISLATION
Somerville,https://library.municode.com/ma/somerville/codes/code_of_ordinances?nodeId=PTIICOOR,PART II - CODE OF ORDINANCES
Somerville,https://library.municode.com/ma/somerville/codes/code_of_ordinances?nodeId=PTIIIADOR,"PART III - ADMINISTRATIVE ORDERS




 (This content was modified in this version of the code.)
modified"
Somerville,https://library.municode.com/ma/somerville/codes/code_of_ordinances?nodeId=STRETA,"STATUTORY REFERENCE TABLE




 (This content was modified in this version of the code.)
modified"
Somerville,https://library.municode.com/ma/somerville/codes/code_of_ordinances?nodeId=APXACIOF,APPENDIX A - CITY OFFICIALS
Somerville,https://library.municode.com/ma/somerville/codes/code_of_ordinances?nodeId=APXBRUCO,"APPENDIX B - RULES OF THE CITY COUNCIL




 (This content was modified in this version of the code.)
modified"
Somerville,https://library.municode.com/ma/somerville/codes/code_of_ordinances?nodeId=APXCCIST,"APPENDIX C - CITY STREETS




 (This content was modified in this version of the code.)
modified"
Somerville,https://library.municode.com/ma/somerville/codes/code_of_ordinances?nodeId=APXDBOHERE,APPENDIX D - BOARD OF HEALTH REGULATIONS
Somerville,https://library.municode.com/ma/somerville/codes/code_of_ordinances?nodeId=APXETRCORE,APPENDIX E - TRAFFIC COMMISSION REGULATIONS
