county,url,link_text
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=16754,Code of Ordinances
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=CHCOAN,"CHARTER AND CODE OF THE CITY OF ANNAPOLIS




 (This content was modified in this version of the code.)
modified"
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=THCH,THE CHARTER
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=CHCOTA,CHARTER COMPARATIVE TABLE
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=TIT1GEPR,Title 1 - GENERAL PROVISIONS
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=TIT2AD,Title 2 - ADMINISTRATION
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=TIT3HURE,Title 3 - HUMAN RESOURCES
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=TIT4EL,Title 4 - ELECTIONS
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=TIT6REFI,Title 6 - REVENUE AND FINANCE
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=TIT7BULITARE,"Title 7 - BUSINESS LICENSES, TAXES AND REGULATIONS"
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=TIT8AN,Title 8 - ANIMALS
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=TIT10HESA,Title 10 - HEALTH AND SAFETY
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=TIT11PUPEMOWE,"Title 11 - PUBLIC PEACE, MORALS AND WELFARE"
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=TIT12VETR,Title 12 - VEHICLES AND TRAFFIC
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=TIT14STSIPUPLSMCESY,"Title 14 - STREETS, SIDEWALKS, PUBLIC PLACES, AND SMALL CELL SYSTEMS"
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=TIT15HAWAAR,Title 15 - HARBORS AND WATERFRONT AREAS
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=TIT16PUSE,Title 16 - PUBLIC SERVICES
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=TIT17BUCO,Title 17 - BUILDINGS AND CONSTRUCTION
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=TIT18LATERE,Title 18 - LANDLORD AND TENANT RELATIONS
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=TIT19ENREO-,Title 19 - ENVIRONMENT (Repealed by O-26-03)
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=CHCOAN01,CHARTER AND CODE OF THE CITY OF ANNAPOLIS
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=TIT20SU,Title 20 - SUBDIVISIONS
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=TIT21PLZO,Title 21 - PLANNING AND ZONING
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=TIT22ADPUFA,Title 22 - ADEQUATE PUBLIC FACILITIES
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=AP,Appendices
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=STREMACITO,STATUTORY REFERENCES FOR MARYLAND CITIES AND TOWNS
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=CRFETA,CROSS-REFERENCE TABLE
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=LICORE,"LIST OF CODIFIED RESOLUTIONS




 (This content was modified in this version of the code.)
modified"
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=ORLIDITA,ORDINANCE LIST AND DISPOSITION TABLE
Annapolis,https://library.municode.com/md/annapolis/codes/code_of_ordinances?nodeId=COCOTADILI,"CODE COMPARATIVE TABLE AND DISPOSITION LIST




 (This content was modified in this version of the code.)
modified"
