county,url,link_text
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=11926,Code of Ordinances
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=BACOCO,"BALTIMORE COUNTY CODE




 (This content was modified in this version of the code.)
modified"
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=CHTR,CHARTER
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=BALTIMORE_CO_CODE_ART1GEPR,ARTICLE 1. - GENERAL PROVISIONS
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART2LEBR,ARTICLE 2. - LEGISLATIVE BRANCH
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART3AD,ARTICLE 3. - ADMINISTRATION
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART4HURE,ARTICLE 4. - HUMAN RESOURCES
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART5PERE,ARTICLE 5. - PENSIONS AND RETIREMENT
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART6COJUSY,ARTICLE 6. - COURTS AND JUDICIAL SYSTEM
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART7PUETOPGO,ARTICLE 7. - PUBLIC ETHICS AND OPEN GOVERNMENT
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART8EL,ARTICLE 8. - ELECTIONS
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART9REAU,ARTICLE 9. - REVENUE AUTHORITY
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART10FI,ARTICLE 10. - FINANCE
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART11TA,ARTICLE 11. - TAXATION
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART12AN,ARTICLE 12. - ANIMALS
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART13PUHESAEN,"ARTICLE 13. - PUBLIC HEALTH, SAFETY, AND THE ENVIRONMENT"
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART14FIPR,ARTICLE 14. - FIRE PROTECTION
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART17MIPROF,ARTICLE 17. - MISCELLANEOUS PROVISIONS AND OFFENSES
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART18TR,ARTICLE 18. - TRANSPORTATION
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART19PODE,ARTICLE 19. - POLICE DEPARTMENT
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART20MEDI,ARTICLE 20. - METROPOLITAN DISTRICT
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART21PELIBURE,"ARTICLE 21. - PERMITS, LICENSES, AND BUSINESS REGULATION"
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART23ADSI,ARTICLE 23. - ADVERTISING AND SIGNS
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART24LAPR,ARTICLE 24. - LAND PRESERVATION
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART25CACO,ARTICLE 25. - CABLE COMMUNICATIONS
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART26RERE,ARTICLE 26. - REDEVELOPMENT AND REVITALIZATION
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART28ED,ARTICLE 28. - EDUCATION
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART29HURE,ARTICLE 29. - HUMAN RELATIONS
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART30REPA,ARTICLE 30. - RECREATION AND PARKS
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART32PLZOSUCO,"ARTICLE 32. - PLANNING, ZONING, AND SUBDIVISION CONTROL"
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART33ENPRSU,ARTICLE 33. - ENVIRONMENTAL PROTECTION AND SUSTAINABILITY
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART34WASE,ARTICLE 34. - WATER AND SEWERS
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART35BUHO,ARTICLE 35. - BUILDINGS AND HOUSING
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=AP,APPENDIX
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=PARALLEL_REFERENCES,PARALLEL REFERENCES
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=REFERENCES_BILLS,REFERENCES TO BILLS
Baltimore County,https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,"CODE COMPARATIVE TABLE -  ORDINANCES




 (This content was modified in this version of the code.)
modified"
