county,url,link_text
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=12762,Code of Ordinances
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=CD_ORDCIAUHIMI,"CODE OF ORDINANCES - CITY OF AUBURN HILLS, MICHIGAN"
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH6ALLI,Chapter 6 - ALCOHOLIC LIQUORS
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH10AMEN,Chapter 10 - AMUSEMENTS AND ENTERTAINMENTS
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH14AN,Chapter 14 - ANIMALS
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH18BUBURE,Chapter 18 - BUILDINGS AND BUILDING REGULATIONS
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH22BU,Chapter 22 - BUSINESSES
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH26CACO,Chapter 26 - CABLE COMMUNICATIONS
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH30CODE,Chapter 30 - COMMUNITY DEVELOPMENT
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH34EN,Chapter 34 - ENVIRONMENT
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH38FIPRPR,Chapter 38 - FIRE PREVENTION AND PROTECTION
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH42LAEN,Chapter 42 - LAW ENFORCEMENT
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH46OFMIPR,Chapter 46 - OFFENSES AND MISCELLANEOUS PROVISIONS
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH50PARE,Chapter 50 - PARKS AND RECREATION
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH54SOWA,Chapter 54 - SOLID WASTE
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH58SPAS,Chapter 58 - SPECIAL ASSESSMENTS
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH62STSIOTPUPL,"Chapter 62 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH66SULADI,Chapter 66 - SUBDIVISIONS AND LAND DIVISION
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH70TRVE,Chapter 70 - TRAFFIC AND VEHICLES
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH74UT,Chapter 74 - UTILITIES
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH78VE,Chapter 78 - VEGETATION
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH79RI-WMA,Chapter 79 - RIGHT-OF-WAY MANAGEMENT
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH80ELGASUFR,Chapter 80 - ELECTRIC AND GAS SUPPLY FRANCHISES
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH81QUENL.ELSUFR,"Chapter 81 - QUEST ENERGY, L.L.C. ELECTRIC SUPPLY FRANCHISE"
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH82DTENMAINELSUFR,"Chapter 82 - DTE ENERGY MARKETING, INC., ELECTRIC SUPPLY FRANCHISE"
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_CH83COENCOGAFR,Chapter 83 - CONSUMERS ENERGY COMPANY GAS FRANCHISE
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COOR_APXAFR,APPENDIX A - FRANCHISES
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=COCOTAOR,"CODE COMPARATIVE TABLE ORDINANCES




 (This content was modified in this version of the code.)
modified"
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=STLARETAMICOLA,"STATE LAW REFERENCE TABLE MICHIGAN COMPILED LAWS




 (This content was modified in this version of the code.)
modified"
Auburn Hills,https://library.municode.com/mi/auburn_hills/codes/code_of_ordinances?nodeId=STLARETAMISTAN,STATE LAW REFERENCE TABLE MICHIGAN STATUTES ANNOTATED
