county,url,link_text
Eaton Rapids,https://library.municode.com/mi/eaton_rapids/codes/code_of_ordinances?nodeId=10679,Code of Ordinances
Eaton Rapids,https://library.municode.com/mi/eaton_rapids/codes/code_of_ordinances?nodeId=EARACO,EATON RAPIDS CITY CODE
Eaton Rapids,https://library.municode.com/mi/eaton_rapids/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Eaton Rapids,https://library.municode.com/mi/eaton_rapids/codes/code_of_ordinances?nodeId=CICH,CITY CHARTER
Eaton Rapids,https://library.municode.com/mi/eaton_rapids/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Eaton Rapids,https://library.municode.com/mi/eaton_rapids/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
Eaton Rapids,https://library.municode.com/mi/eaton_rapids/codes/code_of_ordinances?nodeId=COOR_CH2_1-2AD,Chapter 2½ - ADDRESSES
Eaton Rapids,https://library.municode.com/mi/eaton_rapids/codes/code_of_ordinances?nodeId=COOR_CH3ALBE,Chapter 3 - ALCOHOLIC BEVERAGES
Eaton Rapids,https://library.municode.com/mi/eaton_rapids/codes/code_of_ordinances?nodeId=COOR_CH5ANFO,Chapter 5 - ANIMALS AND FOWL
Eaton Rapids,https://library.municode.com/mi/eaton_rapids/codes/code_of_ordinances?nodeId=COOR_CH6BISKSC,"Chapter 6 - BICYCLES, SKATEBOARDS AND SCOOTERS"
Eaton Rapids,https://library.municode.com/mi/eaton_rapids/codes/code_of_ordinances?nodeId=COOR_CH7BUBURE,Chapter 7 - BUILDINGS AND BUILDING REGULATIONS
Eaton Rapids,https://library.municode.com/mi/eaton_rapids/codes/code_of_ordinances?nodeId=COOR_CH7_1-2CATESY,Chapter 7½ - CABLE TELEVISION SYSTEM
Eaton Rapids,https://library.municode.com/mi/eaton_rapids/codes/code_of_ordinances?nodeId=COOR_CH7_3-4TE,Chapter 7¾ - TELECOMMUNICATIONS
Eaton Rapids,https://library.municode.com/mi/eaton_rapids/codes/code_of_ordinances?nodeId=COOR_CH8CE,Chapter 8 - CEMETERIES
Eaton Rapids,https://library.municode.com/mi/eaton_rapids/codes/code_of_ordinances?nodeId=COOR_CH8_1-4DODEAU,Chapter 8¼ - DOWNTOWN DEVELOPMENT AUTHORITY
Eaton Rapids,https://library.municode.com/mi/eaton_rapids/codes/code_of_ordinances?nodeId=COOR_CH8_1-2ELSE,Chapter 8½ - ELECTRIC SERVICE
