county,url,link_text
Farmington,https://library.municode.com/mi/farmington/codes/code_of_ordinances?nodeId=13955,Code of Ordinances
Farmington,https://library.municode.com/mi/farmington/codes/code_of_ordinances?nodeId=COORFAMI,"CODE OF ORDINANCES OF THE CITY OF FARMINGTON, MICHIGAN"
Farmington,https://library.municode.com/mi/farmington/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Farmington,https://library.municode.com/mi/farmington/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Farmington,https://library.municode.com/mi/farmington/codes/code_of_ordinances?nodeId=CHCOTA,CHARTER COMPARATIVE TABLE
Farmington,https://library.municode.com/mi/farmington/codes/code_of_ordinances?nodeId=PTIICOOR,PART II - CODE OF ORDINANCES
Farmington,https://library.municode.com/mi/farmington/codes/code_of_ordinances?nodeId=APXAFR,APPENDIX A - FRANCHISES
Farmington,https://library.municode.com/mi/farmington/codes/code_of_ordinances?nodeId=COCOTA1977CO,CODE COMPARATIVE TABLE 1977 CODE
Farmington,https://library.municode.com/mi/farmington/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,CODE COMPARATIVE TABLE - ORDINANCES
Farmington,https://library.municode.com/mi/farmington/codes/code_of_ordinances?nodeId=STLARETASTCO,STATE LAW REFERENCE TABLE STATE CONSTITUTION
Farmington,https://library.municode.com/mi/farmington/codes/code_of_ordinances?nodeId=STLARETAMICOLA,STATE LAW REFERENCE TABLE MICHIGAN COMPILED LAWS
