county,url,link_text
Grand Haven,https://library.municode.com/mi/grand_haven/codes/code_of_ordinances?nodeId=10034,Code of Ordinances
Grand Haven,https://library.municode.com/mi/grand_haven/codes/code_of_ordinances?nodeId=COORGRHAMI,"CODE OF ORDINANCES CITY OF GRAND HAVEN, MICHIGAN"
Grand Haven,https://library.municode.com/mi/grand_haven/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Grand Haven,https://library.municode.com/mi/grand_haven/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Grand Haven,https://library.municode.com/mi/grand_haven/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Grand Haven,https://library.municode.com/mi/grand_haven/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Grand Haven,https://library.municode.com/mi/grand_haven/codes/code_of_ordinances?nodeId=PTIICOOR_CH3AD,Chapter 3 - ADVERTISING
Grand Haven,https://library.municode.com/mi/grand_haven/codes/code_of_ordinances?nodeId=PTIICOOR_CH4AI,Chapter 4 - AIRPARK
Grand Haven,https://library.municode.com/mi/grand_haven/codes/code_of_ordinances?nodeId=PTIICOOR_CH5ALLI,Chapter 5 - ALCOHOLIC LIQUORS
Grand Haven,https://library.municode.com/mi/grand_haven/codes/code_of_ordinances?nodeId=PTIICOOR_CH6AMEN,Chapter 6 - AMUSEMENTS AND ENTERTAINMENT
Grand Haven,https://library.municode.com/mi/grand_haven/codes/code_of_ordinances?nodeId=PTIICOOR_CH7AN,Chapter 7 - ANIMALS
Grand Haven,https://library.municode.com/mi/grand_haven/codes/code_of_ordinances?nodeId=PTIICOOR_CH8AUAU,Chapter 8 - AUCTIONS AND AUCTIONEERS
Grand Haven,https://library.municode.com/mi/grand_haven/codes/code_of_ordinances?nodeId=PTIICOOR_CH9BUBURE,Chapter 9 - BUILDINGS AND BUILDING REGULATIONS
Grand Haven,https://library.municode.com/mi/grand_haven/codes/code_of_ordinances?nodeId=PTIICOOR_ART9.5BURE,Article 9.5 - BUSINESS REGULATIONS
Grand Haven,https://library.municode.com/mi/grand_haven/codes/code_of_ordinances?nodeId=PTIICOOR_CH10CACO,Chapter 10 - CABLE COMMUNICATIONS
Grand Haven,https://library.municode.com/mi/grand_haven/codes/code_of_ordinances?nodeId=PTIICOOR_CH11CE,Chapter 11 - CEMETERIES
