county,url,link_text
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=15028,Code of Ordinances
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=COORGRMI,"CODE OF ORDINANCES CITY OF GREENVILLE, MICHIGAN"
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=CHTR_COMPARATIVE_TABLE_ORD,CHARTER COMPARATIVE TABLE ORDINANCES
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH4ALLI,Chapter 4 - ALCOHOLIC LIQUOR
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH6AN,Chapter 6 - ANIMALS
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH8BUBURE,Chapter 8 - BUILDINGS AND BUILDING REGULATIONS
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH10BU,Chapter 10 - BUSINESSES
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH12CE,Chapter 12 - CEMETERIES
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH14COECDE,Chapter 14 - COMMUNITY AND ECONOMIC DEVELOPMENT
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH16EMMAEMSE,Chapter 16 - EMERGENCY MANAGEMENT AND EMERGENCY SERVICES
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH18ENNARE,Chapter 18 - ENVIRONMENT AND NATURAL RESOURCES
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH20FIPRPR,Chapter 20 - FIRE PREVENTION AND PROTECTION
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH22HIPR,Chapter 22 - HISTORIC PRESERVATION
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH24NU,Chapter 24 - NUISANCES
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH26OFMIPR,Chapter 26 - OFFENSES AND MISCELLANEOUS PROVISIONS
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH28PARE,Chapter 28 - PARKS AND RECREATION
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH30PEHASOVE,"Chapter 30 - PEDDLERS, HAWKERS, SOLICITORS AND VENDORS"
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH32SOWA,Chapter 32 - SOLID WASTE
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH34SPAS,Chapter 34 - SPECIAL ASSESSMENTS
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH36STSIOTPUPL,"Chapter 36 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH38SUOTDILA,Chapter 38 - SUBDIVISIONS AND OTHER DIVISIONS OF LAND
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH40TA,Chapter 40 - TAXATION
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH42TRVE,Chapter 42 - TRAFFIC AND VEHICLES
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH44UT,Chapter 44 - UTILITIES
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=PTIICOOR_CH46ZO,Chapter 46 - ZONING
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE_PRIOR_CODE,CODE COMPARATIVE TABLE PRIOR CODE
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE_ORD,"CODE COMPARATIVE TABLE ORDINANCES




 (This content was modified in this version of the code.)
modified"
Greenville,https://library.municode.com/mi/greenville/codes/code_of_ordinances?nodeId=STATE_LAW_REFERENCE_TABLE,"STATE LAW REFERENCE TABLE




 (This content was modified in this version of the code.)
modified"
