county,url,link_text
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=16398,Code of Ordinances
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=HAPAMUCO1976,HAZEL PARK MUNICIPAL CODE 1976
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=CH,CHARTER
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=TIT1GEPR,Title 1 - GENERAL PROVISIONS
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=TIT2ADPE,Title 2 - ADMINISTRATION AND PERSONNEL
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=TIT3REFI,Title 3 - REVENUE AND FINANCE
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=TIT5BULIRE,Title 5 - BUSINESS LICENSES AND REGULATIONS
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=TIT6AN,Title 6 - ANIMALS
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=TIT8HESA,Title 8 - HEALTH AND SAFETY*
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=TIT9PUPEMOWE,"Title 9 - PUBLIC PEACE, MORALS AND WELFARE"
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=TIT10VETR,Title 10 - VEHICLES AND TRAFFIC
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=TIT12STSIPUPL,"Title 12 - STREETS, SIDEWALKS AND PUBLIC PLACES"
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=TIT13PUUT,Title 13 - PUBLIC UTILITIES
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=TIT15BUCO,Title 15 - BUILDINGS AND CONSTRUCTION*
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=TIT16SU,Title 16 - SUBDIVISIONS
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=TIT17ZO,Title 17 - ZONING
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=TIT18HURI,Title 18 - HUMAN RIGHTS
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=STREMICITOVI,"STATUTORY REFERENCES FOR MICHIGAN CITIES, TOWNSHIPS AND VILLAGES"
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=AMZOMA,AMENDMENTS TO ZONING MAP
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=FRTA,FRANCHISE TABLE
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=DIORTA,DISPOSITION OF ORDINANCES TABLE
Hazel Park,https://library.municode.com/mi/hazel_park/codes/code_of_ordinances?nodeId=COCOTADILI,CODE COMPARATIVE TABLE AND DISPOSITION LIST
