county,url,link_text
Marysville,https://library.municode.com/mi/marysville/codes/code_of_ordinances?nodeId=14358,Code of Ordinances
Marysville,https://library.municode.com/mi/marysville/codes/code_of_ordinances?nodeId=COORMAMI,"CODE OF ORDINANCES CITY OF MARYSVILLE, MICHIGAN"
Marysville,https://library.municode.com/mi/marysville/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Marysville,https://library.municode.com/mi/marysville/codes/code_of_ordinances?nodeId=CO_TITIAD,TITLE I - ADMINISTRATION
Marysville,https://library.municode.com/mi/marysville/codes/code_of_ordinances?nodeId=CO_TITIIUTSE,Title II - UTILITIES AND SERVICES
Marysville,https://library.municode.com/mi/marysville/codes/code_of_ordinances?nodeId=CO_TITIIIPAPUGR,Title III - PARKS AND PUBLIC GROUNDS
Marysville,https://library.municode.com/mi/marysville/codes/code_of_ordinances?nodeId=CO_TITIVSTSI,TITLE IV - STREETS AND SIDEWALKS
Marysville,https://library.municode.com/mi/marysville/codes/code_of_ordinances?nodeId=CO_TITVZOPL,Title V - ZONING AND PLANNING
Marysville,https://library.municode.com/mi/marysville/codes/code_of_ordinances?nodeId=CO_TITVIFOHE,TITLE VI - FOOD AND HEALTH
Marysville,https://library.municode.com/mi/marysville/codes/code_of_ordinances?nodeId=CO_TITVIIBUTR,Title VII - BUSINESS AND TRADES
Marysville,https://library.municode.com/mi/marysville/codes/code_of_ordinances?nodeId=CO_TITVIIIBURE,Title VIII - BUILDING REGULATIONS
Marysville,https://library.municode.com/mi/marysville/codes/code_of_ordinances?nodeId=CO_TITIXPORE,Title IX - POLICE REGULATIONS
Marysville,https://library.municode.com/mi/marysville/codes/code_of_ordinances?nodeId=CO_TITXTR,Title X - TRAFFIC
Marysville,https://library.municode.com/mi/marysville/codes/code_of_ordinances?nodeId=COCOTA,CODE COMPARATIVE TABLE
