county,url,link_text
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=11201,Code of Ordinances
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=COORNOMI,"CODE OF ORDINANCES CITY OF NOVI, MICHIGAN"
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH3ALLI,Chapter 3 - ALCOHOLIC LIQUOR
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH4AMEN,Chapter 4 - AMUSEMENTS AND ENTERTAINMENTS
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH5AN,Chapter 5 - ANIMALS
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH6AUAU,Chapter 6 - AUCTIONS AND AUCTIONEERS
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH7BUBURE,Chapter 7 - BUILDINGS AND BUILDING REGULATIONS
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH9CATESY,Chapter 9 - CABLE TELEVISION SYSTEMS
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH10CODE,Chapter 10 - COMMUNITY DEVELOPMENT
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH11DECOST,Chapter 11 - DESIGN AND CONSTRUCTION STANDARDS
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH12DRFLDAPR,Chapter 12 - DRAINAGE AND FLOOD DAMAGE PREVENTION
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH13EL,Chapter 13 - ELECTIONS
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH14EMPR,Chapter 14 - EMERGENCY PREPAREDNESS
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH15FIPRPR,Chapter 15 - FIRE PREVENTION AND PROTECTION
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH16GARE,Chapter 16 - GARBAGE AND REFUSE
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH17HIPR,Chapter 17 - HISTORICAL PRESERVATION
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH18HO,Chapter 18 - HOUSING
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH19LI,Chapter 19 - LIBRARY
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH20MA,Chapter 20 - MASSAGE
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH21NU,Chapter 21 - NUISANCES
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH22OF,Chapter 22 - OFFENSES
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH23OIGAWE,Chapter 23 - OIL AND GAS WELLS
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH24OUGAFIPE,Chapter 24 - OUTDOOR GATHERINGS AND FILMING PERMITS
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH25PARE,Chapter 25 - PARKS AND RECREATION
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH26PESOCOHA,"Chapter 26 - PEDDLERS, SOLICITORS, COMMERCIAL HANDBILLS"
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH26.5PEGU,Chapter 26.5 - PERFORMANCE GUARANTEES
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH27PL,Chapter 27 - PLANNING
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH27.5RELI,Chapter 27.5 - REGISTRATION AND LICENSING
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH28SI,Chapter 28 - SIGNS
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH29SO,Chapter 29 - SOIL
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH30SPAS,Chapter 30 - SPECIAL ASSESSMENTS
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH31STSIOTPUPL,"Chapter 31 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH32SULA,Chapter 32 - SUBDIVISION OF LAND
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH32.5TE,Chapter 32.5 - TELECOMMUNICATIONS
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH33TRMOVE,Chapter 33 - TRAFFIC AND MOTOR VEHICLES
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH34UT,Chapter 34 - UTILITIES
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH36WA,Chapter 36 - WATERWAYS
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_CH37WOPR,Chapter 37 - WOODLANDS PROTECTION
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_APXAZOOR,APPENDIX A - ZONING ORDINANCE
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_APXBFR,APPENDIX B - FRANCHISES
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=PTIICOOR_APXCSUOR,APPENDIX C - SUBDIVISION ORDINANCE
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=COCOTA,"CODE COMPARATIVE TABLE




 (This content was modified in this version of the code.)
modified"
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=STATUTORY_REFERENCE_TABLESTCO,STATUTORY REFERENCE TABLE - STATE CONSTITUTION
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=STATUTORY_REFERENCE_TABLEMICOLA,STATUTORY REFERENCE TABLE - MICHIGAN COMPILED LAWS
Novi,https://library.municode.com/mi/novi/codes/code_of_ordinances?nodeId=STATUTORY_REFERENCE_TABLEMISTAN,STATUTORY REFERENCE TABLE - MICHIGAN STATUTES ANNOTATED
