county,url,link_text
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=14735,Code of Ordinances
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=COORPEMI,"CODE OF ORDINANCES CITY OF PETOSKEY, MICHIGAN"
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=SUHITA,SUPPLEMENT HISTORY TABLE
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH3AD,Chapter 3 - ADVERTISING
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH4ALBE,Chapter 4 - ALCOHOLIC BEVERAGES
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH5_1-2AN,Chapter 5½ - ANIMALS
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH6HOBEBROP,Chapter 6 - HOTEL AND BED AND BREAKFAST OPERATIONS
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH7BUBURE,Chapter 7 - BUILDING AND BUILDING REGULATIONS
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH8BUBURE,Chapter 8 - BUSINESSES AND BUSINESS REGULATIONS
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH8_1-2CACO,Chapter 8½ - CABLE COMMUNICATIONS
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH9EL,Chapter 9 - ELECTIONS
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH10FIPRCO,Chapter 10 - FIRE PREVENTION AND CONTROL
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH11GARULI,"Chapter 11 - GARBAGE, RUBBISH AND LITTER"
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH12MIOFPR,Chapter 12 - MISCELLANEOUS OFFENSES AND PROVISIONS
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH13NU,Chapter 13 - NUISANCES
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH14OUGA,Chapter 14 - OUTDOOR GATHERINGS
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH15SHRMRE,Chapter 15 - SHORT-TERM RENTALS
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH16SOERSECO,Chapter 16 - SOIL EROSION AND SEDIMENTATION CONTROL
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH17SPAS,Chapter 17 - SPECIAL ASSESSMENTS
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH18STSIOTPUPL,"Chapter 18 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH20TA,Chapter 20 - TAXATION
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH20_1-2TE,Chapter 20½ - TELECOMMUNICATIONS
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH21TRMOVE,Chapter 21 - TRAFFIC AND MOTOR VEHICLES
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH22UT,Chapter 22 - UTILITIES
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH23VE,Chapter 23 - VEGETATION
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH24VEHI,Chapter 24 - VEHICLES FOR HIRE
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH25WA,Chapter 25 - WATERWAYS
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_CH26ET,Chapter 26 - ETHICS
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_APXAZOOR,Appendix A - ZONING ORDINANCE
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_APXBSURE,Appendix B - SUBDIVISION REGULATIONS
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=PTIICOOR_APXCSIOR,Appendix C - SIGN ORDINANCE
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,CODE COMPARATIVE TABLE - ORDINANCES
Petoskey,https://library.municode.com/mi/petoskey/codes/code_of_ordinances?nodeId=STATE_LAW_REFERENCE_TABLE,STATE LAW REFERENCE TABLE
