county,url,link_text
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=19943,Code of Ordinances
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=COORSAMI,"CODE OF ORDINANCES CITY OF SALINE, MICHIGAN"
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=CHCOTA,"CHARTER COMPARATIVE TABLE




 (This content was modified in this version of the code.)
modified"
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH6ALLI,Chapter 6 - ALCOHOLIC LIQUORS
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH10AMEN,Chapter 10 - AMUSEMENTS AND ENTERTAINMENTS
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH14AN,Chapter 14 - ANIMALS
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH18BUBURE,Chapter 18 - BUILDINGS AND BUILDING REGULATIONS
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH22BU,Chapter 22 - BUSINESSES
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH26CE,Chapter 26 - CEMETERIES
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH30COANTESY,Chapter 30 - COMMUNITY ANTENNA TELEVISION SYSTEM
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH34EMSE,Chapter 34 - EMERGENCY SERVICES
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH38EN,Chapter 38 - ENVIRONMENT
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH42FIPRPR,Chapter 42 - FIRE PREVENTION AND PROTECTION
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH46HURE,Chapter 46 - HUMAN RELATIONS
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH50LAEN,Chapter 50 - LAW ENFORCEMENT
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH58OF,Chapter 58 - OFFENSES
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH62PARE,Chapter 62 - PARKS AND RECREATION
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH66PL,Chapter 66 - PLANNING
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH70SOWA,Chapter 70 - SOLID WASTE
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH71BL,Chapter 71 - BLIGHT
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH74STSIPUIM,"Chapter 74 - STREETS, SIDEWALKS AND PUBLIC IMPROVEMENTS"
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH78SU,Chapter 78 - SUBDIVISIONS
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH82TA,Chapter 82 - TAXATION
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH83SECHLITA,Chapter 83 - SERVICE CHARGE IN LIEU OF TAXES
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH86TRVE,Chapter 86 - TRAFFIC AND VEHICLES
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH90TRVE,Chapter 90 - TREES AND VEGETATION
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH94UT,Chapter 94 - UTILITIES
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_CH98VEHI,Chapter 98 - VEHICLES FOR HIRE
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=PTIICOOR_APXAZO,APPENDIX A - ZONING
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=COCOTA1968CO,CODE COMPARATIVE TABLE 1968 CODE
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=COCOTAOR,"CODE COMPARATIVE TABLE ORDINANCES




 (This content was modified in this version of the code.)
modified"
Saline,https://library.municode.com/mi/saline/codes/code_of_ordinances?nodeId=STLARETAMICOLA,STATE LAW REFERENCE TABLE MICHIGAN COMPILED LAWS
