county,url,link_text
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=11527,Code of Ordinances
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=COORSASTMAMI,"CODE OF ORDINANCES CITY OF SAULT STE. MARIE, MICHIGAN"
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTICH,PART I - CHARTER
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=CHCOTA,CHARTER COMPARATIVE TABLE
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH2AD,Chapter 2 - ADMINISTRATION
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH3AD,Chapter 3 - ADVERTISING
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH4RE,Chapter 4 - RESERVED
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH5AI,Chapter 5 - AIRPORT
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH6AM,Chapter 6 - AMUSEMENTS
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH7ANFO,Chapter 7 - ANIMALS AND FOWL
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH8BUBURE,Chapter 8 - BUILDINGS AND BUILDING REGULATIONS
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH9BUBURE,Chapter 9 - BUSINESSES AND BUSINESS REGULATIONS
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH10CE,Chapter 10 - CEMETERIES
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH11EL,Chapter 11 - ELECTIONS
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH12FIPRCO,Chapter 12 - FIRE PREVENTION AND CONTROL
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH13GARULIJU,"Chapter 13 - GARBAGE, RUBBISH, LITTER AND JUNK"
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH14LIPE,Chapter 14 - LICENSES AND PERMITS
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH15MI,Chapter 15 - MINORS
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH16MIOFPR,Chapter 16 - MISCELLANEOUS OFFENSES AND PROVISIONS
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH17MOHO,Chapter 17 - MOBILE HOMES
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH18NU,Chapter 18 - NUISANCES
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH18.5PLDE,Chapter 18.5 - PLANNING AND DEVELOPMENT
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH19PO,Chapter 19 - POLICE
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH20SI,Chapter 20 - SIGNS
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH21SPAS,Chapter 21 - SPECIAL ASSESSMENTS
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH22STSIOTPUPL,"Chapter 22 - STREETS, SIDEWALKS AND OTHER PUBLIC PLACES"
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH23SURE,Chapter 23 - SUBDIVISION REGULATIONS
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH23.5TE,Chapter 23.5 - TELECOMMUNICATIONS
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH24TRMOVE,Chapter 24 - TRAFFIC AND MOTOR VEHICLES
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH25VE,Chapter 25 - VEGETATION
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH26VEHI,Chapter 26 - VEHICLES FOR HIRE
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=PTIICOOR_CH27WASUSEDISY,Chapter 27 - WATER SUPPLY AND SEWAGE DISPOSAL SYSTEM
Sault Ste. Marie,https://library.municode.com/mi/sault_ste._marie/codes/code_of_ordinances?nodeId=APXAZOOR,APPENDIX A - ZONING ORDINANCE
